route_id,service_id,trip_id,direction_id,block_id,shape_id
038982ec,3,2a035f7c-0-adfda243-1,0,,994835994
038982ec,3,ae8480ce-9-adfda243-1,0,,994835994
038982ec,3,ba191615-c-adfda243-1,1,,994835995
038982ec,3,d7e5d1d1-6-adfda243-1,0,,994835994
038982ec,3,c2c7ae87-2-adfda243-1,1,,994835995
038982ec,3,e663cf65-7-adfda243-1,0,,994835994
038982ec,3,71644c4f-f-adfda243-1,1,,994835995
038982ec,3,015f0a86-d-adfda243-1,0,,994835994
038982ec,3,64166db1-d-adfda243-1,1,,994835995
038982ec,3,d986250d-d-adfda243-1,0,,994835994
038982ec,3,b8456022-4-adfda243-1,1,,994835995
038982ec,3,32a83125-8-adfda243-1,0,,994835994
038982ec,3,fb80ddc7-f-adfda243-1,1,,994835995
038982ec,3,a120f706-2-adfda243-1,0,,994835994
038982ec,3,5219337a-1-adfda243-1,1,,994835995
038982ec,3,34cfb429-4-adfda243-1,0,,994835994
038982ec,3,eecfdad9-c-adfda243-1,1,,994835995
038982ec,3,ba950053-d-adfda243-1,0,,994835994
038982ec,3,f520fca5-6-adfda243-1,1,,994835995
038982ec,3,c75fc64a-6-adfda243-1,0,,994835994
038982ec,3,180eab67-d-adfda243-1,1,,994835995
038982ec,3,37ad89cb-b-adfda243-1,0,,994835994
038982ec,3,f1ea1c29-2-adfda243-1,1,,994835995
038982ec,3,d3574318-a-adfda243-1,0,,994835994
038982ec,3,b9260b0b-b-adfda243-1,1,,994835995
038982ec,3,6952e15f-0-adfda243-1,0,,994835994
038982ec,3,8a62b25d-a-adfda243-1,1,,994835995
038982ec,3,26833141-9-adfda243-1,0,,994835994
038982ec,3,97ec4066-c-adfda243-1,1,,994835995
038982ec,3,06fc5558-a-adfda243-1,0,,994835994
038982ec,3,aa86aa2f-4-adfda243-1,1,,994835995
038982ec,3,ca26ebb2-c-adfda243-1,0,,994835994
038982ec,3,e57ad288-2-adfda243-1,1,,994835995
038982ec,3,e79fa791-1-adfda243-1,0,,994835994
038982ec,3,d2ea612f-8-adfda243-1,1,,994835995
038982ec,3,ae0171d0-c-adfda243-1,0,,994835994
038982ec,3,ce492d9b-c-adfda243-1,1,,994835995
038982ec,3,d306e575-2-adfda243-1,0,,994835994
038982ec,3,5e73aceb-8-adfda243-1,1,,994835995
038982ec,3,0efea870-f-adfda243-1,0,,994835994
038982ec,3,57d57b86-d-adfda243-1,1,,994835995
038982ec,3,42aec11d-9-adfda243-1,0,,994835994
038982ec,3,1614409c-e-adfda243-1,1,,994835995
038982ec,3,e057201a-5-adfda243-1,0,,994835994
038982ec,3,41a4d52a-2-adfda243-1,1,,994835995
038982ec,3,935b2390-6-adfda243-1,0,,994835994
038982ec,3,950ab17e-a-adfda243-1,1,,994835995
038982ec,3,e2077727-9-adfda243-1,0,,994835994
038982ec,3,c91968ea-1-adfda243-1,1,,994835995
038982ec,3,59ddf967-9-adfda243-1,0,,994835994
038982ec,3,ac3956ce-0-adfda243-1,1,,994835995
038982ec,3,d2830be9-e-adfda243-1,0,,994835994
038982ec,3,47e10955-d-adfda243-1,1,,994835995
038982ec,3,9db36ebf-0-adfda243-1,0,,994835994
038982ec,3,ee0fb288-0-adfda243-1,1,,994835995
038982ec,3,107e1917-4-adfda243-1,0,,994835994
038982ec,3,47ae43c7-7-adfda243-1,1,,994835995
038982ec,3,d5c9e929-7-adfda243-1,0,,994835994
038982ec,3,a7f4bb91-1-adfda243-1,1,,994835995
038982ec,3,8f0e2d84-1-adfda243-1,0,,994835994
038982ec,3,86f1d19c-c-adfda243-1,1,,994835995
038982ec,3,eeaa1c9b-a-adfda243-1,1,,994835995
038982ec,3,ad6640d3-c-adfda243-1,0,,994835994
038982ec,3,517f0873-4-adfda243-1,1,,994835995
038982ec,3,f52f4122-2-adfda243-1,0,,994835994
038982ec,3,0045d4a6-9-adfda243-1,1,,994835995
038982ec,3,4f902129-f-adfda243-1,0,,994835994
038982ec,3,42bc3549-e-adfda243-1,1,,994835995
038982ec,2,35247f8d-5-7b3b433c-d,0,,994835994
038982ec,2,6dca9fd3-e-7b3b433c-d,0,,994835994
038982ec,2,433c0460-4-7b3b433c-d,1,,994835995
038982ec,2,f7118d2a-4-7b3b433c-d,0,,994835994
038982ec,2,3570d1ec-e-7b3b433c-d,1,,994835995
038982ec,2,8b882517-9-7b3b433c-d,0,,994835994
038982ec,2,906fa5e2-2-7b3b433c-d,1,,994835995
038982ec,2,c10d949f-a-7b3b433c-d,0,,994835994
038982ec,2,18ec9e8b-a-7b3b433c-d,1,,994835995
038982ec,2,692db4df-c-7b3b433c-d,0,,994835994
038982ec,2,35565e3b-9-7b3b433c-d,1,,994835995
038982ec,2,e38b2d83-5-7b3b433c-d,0,,994835994
038982ec,2,96874fed-2-7b3b433c-d,1,,994835995
038982ec,2,471ddc5f-7-7b3b433c-d,0,,994835994
038982ec,2,1e8b7e9a-6-7b3b433c-d,1,,994835995
038982ec,2,a4eb0353-e-7b3b433c-d,0,,994835994
038982ec,2,2126eb48-2-7b3b433c-d,1,,994835995
038982ec,2,058c262f-2-7b3b433c-d,0,,994835994
038982ec,2,b6023e54-f-7b3b433c-d,1,,994835995
038982ec,2,9abbeb82-8-7b3b433c-d,0,,994835994
038982ec,2,c9b9082e-f-7b3b433c-d,1,,994835995
038982ec,2,3ae7f523-3-7b3b433c-d,0,,994835994
038982ec,2,f1fbd606-4-7b3b433c-d,1,,994835995
038982ec,2,84d8f63d-1-7b3b433c-d,0,,994835994
038982ec,2,9cfe859e-b-7b3b433c-d,1,,994835995
038982ec,2,0e917086-c-7b3b433c-d,0,,994835994
038982ec,2,0cedd031-f-7b3b433c-d,1,,994835995
038982ec,2,43cd036a-6-7b3b433c-d,0,,994835994
038982ec,2,b10088a2-b-7b3b433c-d,1,,994835995
038982ec,2,eafaf5b5-6-7b3b433c-d,0,,994835994
038982ec,2,9ec88e02-1-7b3b433c-d,1,,994835995
038982ec,2,38496c3a-b-7b3b433c-d,0,,994835994
038982ec,2,228d8905-5-7b3b433c-d,1,,994835995
038982ec,2,3f4eea20-2-7b3b433c-d,0,,994835994
038982ec,2,867a1121-8-7b3b433c-d,1,,994835995
038982ec,2,4d8dbbaa-e-7b3b433c-d,0,,994835994
038982ec,2,cadefd8e-0-7b3b433c-d,1,,994835995
038982ec,2,b60d7340-d-7b3b433c-d,0,,994835994
038982ec,2,7cec9357-1-7b3b433c-d,1,,994835995
038982ec,2,deb38a36-1-7b3b433c-d,0,,994835994
038982ec,2,8c18dcf8-7-7b3b433c-d,1,,994835995
038982ec,2,85eccb1d-1-7b3b433c-d,0,,994835994
038982ec,2,fae8419d-1-7b3b433c-d,1,,994835995
038982ec,2,14dd729e-7-7b3b433c-d,0,,994835994
038982ec,2,b65833a0-4-7b3b433c-d,1,,994835995
038982ec,2,11e7904f-3-7b3b433c-d,0,,994835994
038982ec,2,50c351ca-4-7b3b433c-d,1,,994835995
038982ec,2,88962523-3-7b3b433c-d,0,,994835994
038982ec,2,4c5108f2-3-7b3b433c-d,1,,994835995
038982ec,2,8e999373-8-7b3b433c-d,0,,994835994
038982ec,2,431e85a8-9-7b3b433c-d,1,,994835995
038982ec,2,6c737cb1-8-7b3b433c-d,0,,994835994
038982ec,2,60f82203-a-7b3b433c-d,1,,994835995
038982ec,2,3f923beb-a-7b3b433c-d,0,,994835994
038982ec,2,b472a024-d-7b3b433c-d,1,,994835995
038982ec,2,bd3d9e46-9-7b3b433c-d,0,,994835994
038982ec,2,c25a78cb-4-7b3b433c-d,1,,994835995
038982ec,2,4bad5021-b-7b3b433c-d,0,,994835994
038982ec,2,c2df2376-d-7b3b433c-d,1,,994835995
038982ec,2,aac1a7ff-d-7b3b433c-d,0,,994835994
038982ec,2,669e408f-d-7b3b433c-d,1,,994835995
038982ec,2,8b1a55c2-c-7b3b433c-d,1,,994835995
038982ec,2,50bcd712-6-7b3b433c-d,0,,994835994
038982ec,2,57cab71d-8-7b3b433c-d,1,,994835995
038982ec,2,e0d85ac6-3-7b3b433c-d,0,,994835994
038982ec,2,2272b0d3-1-7b3b433c-d,1,,994835995
038982ec,2,70001fa4-8-7b3b433c-d,0,,994835994
038982ec,2,4a2b3874-9-7b3b433c-d,1,,994835995
038982ec,1,d15ed0de-e-0c63b5bb-8,0,,994835994
038982ec,1,6954328a-6-0c63b5bb-8,0,,994835994
038982ec,1,0500ce51-6-0c63b5bb-8,1,,994835995
038982ec,1,9167499c-4-0c63b5bb-8,0,,994835994
038982ec,1,abc0e932-b-0c63b5bb-8,1,,994835995
038982ec,1,d2e68ced-3-0c63b5bb-8,0,,994835994
038982ec,1,28e5db38-5-0c63b5bb-8,1,,994835995
038982ec,1,bdb54d52-7-0c63b5bb-8,0,,994835994
038982ec,1,c2390de2-d-0c63b5bb-8,1,,994835995
038982ec,1,2c6e520f-e-0c63b5bb-8,0,,994835994
038982ec,1,2f16ccef-d-0c63b5bb-8,1,,994835995
038982ec,1,de3d95bf-4-0c63b5bb-8,0,,994835994
038982ec,1,a09f14ca-8-0c63b5bb-8,1,,994835995
038982ec,1,509e8b83-f-0c63b5bb-8,0,,994835994
038982ec,1,1dc14fda-2-0c63b5bb-8,1,,994835995
038982ec,1,9ac68117-b-0c63b5bb-8,0,,994835994
038982ec,1,ed8d6c91-1-0c63b5bb-8,1,,994835995
038982ec,1,5f3a164e-6-0c63b5bb-8,0,,994835994
038982ec,1,10fd5f6c-d-0c63b5bb-8,1,,994835995
038982ec,1,2afbdc46-8-0c63b5bb-8,0,,994835994
038982ec,1,d3efef82-9-0c63b5bb-8,1,,994835995
038982ec,1,aea1469b-f-0c63b5bb-8,0,,994835994
038982ec,1,0a830c6b-9-0c63b5bb-8,1,,994835995
038982ec,1,b5922903-5-0c63b5bb-8,0,,994835994
038982ec,1,de686103-f-0c63b5bb-8,1,,994835995
038982ec,1,6d484216-c-0c63b5bb-8,0,,994835994
038982ec,1,d8b11079-7-0c63b5bb-8,1,,994835995
038982ec,1,4d5c29d9-1-0c63b5bb-8,0,,994835994
038982ec,1,01fc8b34-c-0c63b5bb-8,1,,994835995
038982ec,1,258fa808-4-0c63b5bb-8,0,,994835994
038982ec,1,fd7ff607-9-0c63b5bb-8,1,,994835995
038982ec,1,a86f9e8d-0-0c63b5bb-8,0,,994835994
038982ec,1,a54b0bb1-1-0c63b5bb-8,1,,994835995
038982ec,1,5970727b-c-0c63b5bb-8,0,,994835994
038982ec,1,15267d7f-7-0c63b5bb-8,1,,994835995
038982ec,1,cd632858-c-0c63b5bb-8,0,,994835994
038982ec,1,69708d03-d-0c63b5bb-8,1,,994835995
038982ec,1,6e1d9998-1-0c63b5bb-8,0,,994835994
038982ec,1,5aeae5c8-2-0c63b5bb-8,1,,994835995
038982ec,1,3fd3bac6-5-0c63b5bb-8,0,,994835994
038982ec,1,87daccd2-8-0c63b5bb-8,1,,994835995
038982ec,1,428c4b7c-e-0c63b5bb-8,0,,994835994
038982ec,1,8428c6e4-2-0c63b5bb-8,1,,994835995
038982ec,1,abd13d79-b-0c63b5bb-8,0,,994835994
038982ec,1,ebd0267a-9-0c63b5bb-8,1,,994835995
038982ec,1,cc13670a-3-0c63b5bb-8,0,,994835994
038982ec,1,ec22dd12-7-0c63b5bb-8,1,,994835995
038982ec,1,f418941a-e-0c63b5bb-8,0,,994835994
038982ec,1,744e1c6c-3-0c63b5bb-8,1,,994835995
038982ec,1,39e42169-d-0c63b5bb-8,0,,994835994
038982ec,1,0448eabb-b-0c63b5bb-8,1,,994835995
038982ec,1,15eeeab1-a-0c63b5bb-8,0,,994835994
038982ec,1,d6ab018a-2-0c63b5bb-8,1,,994835995
038982ec,1,7ef41f72-a-0c63b5bb-8,0,,994835994
038982ec,1,16fccf2b-f-0c63b5bb-8,1,,994835995
038982ec,1,d5663288-2-0c63b5bb-8,0,,994835994
038982ec,1,55ee7a3d-b-0c63b5bb-8,1,,994835995
038982ec,1,59b4e80a-a-0c63b5bb-8,0,,994835994
038982ec,1,1707071e-9-0c63b5bb-8,1,,994835995
038982ec,1,24f03f48-0-0c63b5bb-8,0,,994835994
038982ec,1,e5307019-9-0c63b5bb-8,1,,994835995
038982ec,1,3c708cc0-c-0c63b5bb-8,1,,994835995
038982ec,1,54337ce8-7-0c63b5bb-8,0,,994835994
038982ec,1,c8badf48-e-0c63b5bb-8,1,,994835995
