trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
3622066,05:47:00,05:47:00,11990,1,0,0
3622066,05:48:00,05:48:00,14220,2,0,0
3622066,05:50:00,05:50:00,44060,3,0,0
3622066,05:51:00,05:51:00,14190,4,0,0
3622066,05:52:00,05:52:00,14170,5,0,0
3622066,05:54:00,05:54:00,14150,6,0,0
3622066,05:56:00,05:56:00,14120,7,0,0
3622066,05:57:00,05:57:00,45767,8,0,0
3622066,05:59:00,05:59:00,45848,9,0,0
3622066,05:59:00,05:59:00,14090,10,0,0
3622066,06:01:00,06:01:00,14080,11,0,0
3622066,06:02:00,06:02:00,14055,12,0,0
3622066,06:03:00,06:03:00,14040,13,0,0
3622066,06:03:00,06:03:00,00285,14,0,0
3622066,06:04:00,06:04:00,00270,15,0,0
3622066,06:04:00,06:04:00,00260,16,0,0
3622066,06:05:00,06:05:00,00240,17,0,0
3622066,06:05:00,06:05:00,00210,18,0,0
3622066,06:06:00,06:06:00,00170,19,0,0
3622066,06:07:00,06:07:00,49524,20,0,0
3622066,06:09:00,06:09:00,49520,21,0,0
3622066,06:22:00,06:22:00,45768,22,0,0
3622066,06:22:00,06:22:00,07380,23,0,0
3622066,06:23:00,06:23:00,32550,24,0,0
3622066,06:25:00,06:25:00,25650,25,0,0
3622066,06:26:00,06:26:00,05710,26,0,0
3622066,06:28:00,06:28:00,05690,27,0,0
3622066,06:29:00,06:29:00,30760,28,0,0
3622066,06:34:00,06:34:00,59591,29,0,0
3622066,06:36:00,06:36:00,59581,30,1,0
3622278,06:14:00,06:14:00,11990,1,0,0
3622278,06:15:00,06:15:00,14220,2,0,0
3622278,06:17:00,06:17:00,44060,3,0,0
3622278,06:18:00,06:18:00,14190,4,0,0
3622278,06:19:00,06:19:00,14170,5,0,0
3622278,06:21:00,06:21:00,14150,6,0,0
3622278,06:23:00,06:23:00,14120,7,0,0
3622278,06:24:00,06:24:00,45767,8,0,0
3622278,06:26:00,06:26:00,45848,9,0,0
3622278,06:26:00,06:26:00,14090,10,0,0
3622278,06:28:00,06:28:00,14080,11,0,0
3622278,06:29:00,06:29:00,14055,12,0,0
3622278,06:30:00,06:30:00,14040,13,0,0
3622278,06:30:00,06:30:00,00285,14,0,0
3622278,06:31:00,06:31:00,00270,15,0,0
3622278,06:31:00,06:31:00,00260,16,0,0
3622278,06:32:00,06:32:00,00240,17,0,0
3622278,06:32:00,06:32:00,00210,18,0,0
3622278,06:33:00,06:33:00,00170,19,0,0
3622278,06:34:00,06:34:00,49524,20,0,0
3622278,06:36:00,06:36:00,49520,21,0,0
3622278,06:49:00,06:49:00,45768,22,0,0
3622278,06:49:00,06:49:00,07380,23,0,0
3622278,06:50:00,06:50:00,32550,24,0,0
3622278,06:52:00,06:52:00,25650,25,0,0
3622278,06:53:00,06:53:00,05710,26,0,0
3622278,06:55:00,06:55:00,05690,27,0,0
3622278,06:56:00,06:56:00,30760,28,0,0
3622278,07:01:00,07:01:00,59591,29,0,0
3622278,07:03:00,07:03:00,59581,30,1,0
3622299,06:47:00,06:47:00,11990,1,0,0
3622299,06:48:00,06:48:00,14220,2,0,0
3622299,06:50:00,06:50:00,44060,3,0,0
3622299,06:51:00,06:51:00,14190,4,0,0
3622299,06:52:00,06:52:00,14170,5,0,0
3622299,06:54:00,06:54:00,14150,6,0,0
3622299,06:56:00,06:56:00,14120,7,0,0
3622299,06:57:00,06:57:00,45767,8,0,0
3622299,06:59:00,06:59:00,45848,9,0,0
3622299,06:59:00,06:59:00,14090,10,0,0
3622299,07:01:00,07:01:00,14080,11,0,0
3622299,07:02:00,07:02:00,14055,12,0,0
3622299,07:03:00,07:03:00,14040,13,0,0
3622299,07:03:00,07:03:00,00285,14,0,0
3622299,07:04:00,07:04:00,00270,15,0,0
3622299,07:05:00,07:05:00,00260,16,0,0
3622299,07:05:00,07:05:00,00240,17,0,0
3622299,07:06:00,07:06:00,00210,18,0,0
3622299,07:07:00,07:07:00,00170,19,0,0
3622299,07:08:00,07:08:00,49524,20,0,0
3622299,07:11:00,07:11:00,49520,21,0,0
3622299,07:27:00,07:27:00,45768,22,0,0
3622299,07:27:00,07:27:00,07380,23,0,0
3622299,07:28:00,07:28:00,32550,24,0,0
3622299,07:30:00,07:30:00,25650,25,0,0
3622299,07:31:00,07:31:00,05710,26,0,0
3622299,07:33:00,07:33:00,05690,27,0,0
3622299,07:34:00,07:34:00,30760,28,0,0
3622299,07:39:00,07:39:00,59591,29,0,0
3622299,07:41:00,07:41:00,59581,30,1,0
3622327,07:17:00,07:17:00,11990,1,0,0
3622327,07:18:00,07:18:00,14220,2,0,0
3622327,07:20:00,07:20:00,44060,3,0,0
3622327,07:21:00,07:21:00,14190,4,0,0
3622327,07:22:00,07:22:00,14170,5,0,0
3622327,07:24:00,07:24:00,14150,6,0,0
3622327,07:26:00,07:26:00,14120,7,0,0
3622327,07:27:00,07:27:00,45767,8,0,0
3622327,07:29:00,07:29:00,45848,9,0,0
3622327,07:29:00,07:29:00,14090,10,0,0
3622327,07:31:00,07:31:00,14080,11,0,0
3622327,07:32:00,07:32:00,14055,12,0,0
3622327,07:33:00,07:33:00,14040,13,0,0
3622327,07:33:00,07:33:00,00285,14,0,0
3622327,07:34:00,07:34:00,00270,15,0,0
3622327,07:35:00,07:35:00,00260,16,0,0
3622327,07:36:00,07:36:00,00240,17,0,0
3622327,07:36:00,07:36:00,00210,18,0,0
3622327,07:37:00,07:37:00,00170,19,0,0
3622327,07:39:00,07:39:00,49524,20,0,0
3622327,07:42:00,07:42:00,49520,21,0,0
3622327,08:01:00,08:01:00,45768,22,0,0
3622327,08:01:00,08:01:00,07380,23,0,0
3622327,08:02:00,08:02:00,32550,24,0,0
3622327,08:04:00,08:04:00,25650,25,0,0
3622327,08:05:00,08:05:00,05710,26,0,0
3622327,08:07:00,08:07:00,05690,27,0,0
3622327,08:08:00,08:08:00,30760,28,0,0
3622327,08:13:00,08:13:00,59591,29,0,0
3622327,08:15:00,08:15:00,59581,30,1,0
3622351,07:47:00,07:47:00,11990,1,0,0
3622351,07:48:00,07:48:00,14220,2,0,0
3622351,07:50:00,07:50:00,44060,3,0,0
3622351,07:51:00,07:51:00,14190,4,0,0
3622351,07:52:00,07:52:00,14170,5,0,0
3622351,07:54:00,07:54:00,14150,6,0,0
3622351,07:56:00,07:56:00,14120,7,0,0
3622351,07:57:00,07:57:00,45767,8,0,0
3622351,07:59:00,07:59:00,45848,9,0,0
3622351,07:59:00,07:59:00,14090,10,0,0
3622351,08:01:00,08:01:00,14080,11,0,0
3622351,08:02:00,08:02:00,14055,12,0,0
