route_id,service_id,trip_id,trip_headsign,block_id,shape_id
40x,TRYON-Weekday-1-BUS-19-10-1111100,3622066,Inbound,730734,40x0136
40x,TRYON-Weekday-1-BUS-19-10-1111100,3622278,Inbound,730738,40x0136
40x,TRYON-Weekday-1-BUS-19-10-1111100,3622299,Inbound,730750,40x0136
40x,TRYON-Weekday-1-BUS-19-10-1111100,3622327,Inbound,730734,40x0136
40x,TRYON-Weekday-1-BUS-19-10-1111100,3622351,Inbound,730738,40x0136
40x,TRYON-Weekday-1-BUS-19-10-1111100,3623487,Outbound,730738,40x0127
40x,TRYON-Weekday-1-BUS-19-10-1111100,3623488,Outbound,730750,40x0127
40x,TRYON-Weekday-1-BUS-19-10-1111100,3623490,Outbound,730774,40x0135
40x,TRYON-Weekday-1-BUS-19-10-1111100,3623493,Outbound,730782,40x0135
40x,TRYON-Weekday-1-BUS-19-10-1111100,3623495,Outbound,730796,40x0135
40x,TRYON-Weekday-1-BUS-19-10-1111100,3623498,Outbound,730806,40x0135
40x,TRYON-Weekday-1-BUS-19-10-1111100,3623500,Outbound,730776,40x0135
40x,TRYON-Weekday-2-BUS-19-06-1111100,3580637,Inbound,732881,40x0129
40x,TRYON-Weekday-2-BUS-19-06-1111100,3580849,Inbound,732885,40x0129
40x,TRYON-Weekday-2-BUS-19-06-1111100,3580870,Inbound,732895,40x0129
40x,TRYON-Weekday-2-BUS-19-06-1111100,3580898,Inbound,732881,40x0129
40x,TRYON-Weekday-2-BUS-19-06-1111100,3580922,Inbound,732885,40x0129
40x,TRYON-Weekday-2-BUS-19-06-1111100,3582058,Outbound,732885,40x0127
40x,TRYON-Weekday-2-BUS-19-06-1111100,3582059,Outbound,732895,40x0127
40x,TRYON-Weekday-2-BUS-19-06-1111100,3582061,Outbound,732936,40x0135
40x,TRYON-Weekday-2-BUS-19-06-1111100,3582064,Outbound,732877,40x0135
40x,TRYON-Weekday-2-BUS-19-06-1111100,3582066,Outbound,732880,40x0135
40x,TRYON-Weekday-2-BUS-19-06-1111100,3582069,Outbound,732869,40x0135
40x,TRYON-Weekday-2-BUS-19-06-1111100,3582071,Outbound,732868,40x0135
41x,TRYON-Weekday-1-BUS-19-10-1111100,3622665,Outbound,730787,41x0108
41x,TRYON-Weekday-1-BUS-19-10-1111100,3622686,Outbound,730772,41x0108
41x,TRYON-Weekday-1-BUS-19-10-1111100,3622718,Outbound,730781,41x0108
41x,TRYON-Weekday-1-BUS-19-10-1111100,3622745,Outbound,730775,41x0108
41x,TRYON-Weekday-1-BUS-19-10-1111100,3622959,Inbound,730748,41x0110
41x,TRYON-Weekday-1-BUS-19-10-1111100,3622979,Inbound,730762,41x0110
41x,TRYON-Weekday-1-BUS-19-10-1111100,3623004,Inbound,730759,41x0110
41x,TRYON-Weekday-1-BUS-19-10-1111100,3623028,Inbound,730748,41x0110
41x,TRYON-Weekday-2-BUS-19-06-1111100,3581236,Outbound,732847,41x0108
41x,TRYON-Weekday-2-BUS-19-06-1111100,3581257,Outbound,732940,41x0108
41x,TRYON-Weekday-2-BUS-19-06-1111100,3581289,Outbound,732875,41x0108
41x,TRYON-Weekday-2-BUS-19-06-1111100,3581316,Outbound,732873,41x0108
41x,TRYON-Weekday-2-BUS-19-06-1111100,3581530,Inbound,732854,41x0110
41x,TRYON-Weekday-2-BUS-19-06-1111100,3581550,Inbound,732856,41x0110
41x,TRYON-Weekday-2-BUS-19-06-1111100,3581575,Inbound,732912,41x0110
41x,TRYON-Weekday-2-BUS-19-06-1111100,3581599,Inbound,732854,41x0110
46x,TRYON-Weekday-1-BUS-19-10-1111100,3622266,Inbound,730737,46x0047
46x,TRYON-Weekday-1-BUS-19-10-1111100,3622295,Inbound,730746,46x0047
46x,TRYON-Weekday-1-BUS-19-10-1111100,3622320,Inbound,730761,46x0047
46x,TRYON-Weekday-1-BUS-19-10-1111100,3622345,Inbound,730741,46x0047
46x,TRYON-Weekday-1-BUS-19-10-1111100,3622359,Inbound,730814,46x0047
46x,TRYON-Weekday-1-BUS-19-10-1111100,3623491,Outbound,730777,46x0046
46x,TRYON-Weekday-1-BUS-19-10-1111100,3623494,Outbound,730788,46x0046
46x,TRYON-Weekday-1-BUS-19-10-1111100,3623496,Outbound,730800,46x0046
46x,TRYON-Weekday-1-BUS-19-10-1111100,3623499,Outbound,730780,46x0046
46x,TRYON-Weekday-1-BUS-19-10-1111100,3623501,Outbound,730782,46x0046
46x,TRYON-Weekday-2-BUS-19-06-1111100,3580837,Inbound,732883,46x0041
46x,TRYON-Weekday-2-BUS-19-06-1111100,3580866,Inbound,732892,46x0041
46x,TRYON-Weekday-2-BUS-19-06-1111100,3580891,Inbound,732902,46x0041
46x,TRYON-Weekday-2-BUS-19-06-1111100,3580916,Inbound,732888,46x0041
46x,TRYON-Weekday-2-BUS-19-06-1111100,3580930,Inbound,732886,46x0041
46x,TRYON-Weekday-2-BUS-19-06-1111100,3582062,Outbound,732922,46x0046
46x,TRYON-Weekday-2-BUS-19-06-1111100,3582065,Outbound,732923,46x0046
46x,TRYON-Weekday-2-BUS-19-06-1111100,3582067,Outbound,732874,46x0046
46x,TRYON-Weekday-2-BUS-19-06-1111100,3582070,Outbound,732848,46x0046
46x,TRYON-Weekday-2-BUS-19-06-1111100,3582072,Outbound,732877,46x0046
47x,DAVID-Weekday-1-BUS-19-10-1111100,3658715,Outbound,730335,47x0008
47x,DAVID-Weekday-1-BUS-19-10-1111100,3658723,Inbound,730355,47x0007
47x,DAVID-Weekday-2-BUS-19-06-1111100,3578332,Outbound,733112,47x0008
47x,DAVID-Weekday-2-BUS-19-06-1111100,3579242,Inbound,733152,47x0007
48x,DAVID-Weekday-1-BUS-19-10-1111100,3658646,Inbound,730360,48x0095
48x,DAVID-Weekday-1-BUS-19-10-1111100,3658650,Inbound,730325,48x0091
48x,DAVID-Weekday-1-BUS-19-10-1111100,3658651,Inbound,730325,48x0091
48x,DAVID-Weekday-1-BUS-19-10-1111100,3658661,Inbound,730327,48x0091
48x,DAVID-Weekday-1-BUS-19-10-1111100,3658664,Inbound,730362,48x0095
