trip_id,stop_id,stop_sequence,arrival_time,departure_time,timepoint
d279c678-2-7b3b433c-d,45601,1,06:09:00,06:09:00,1
d279c678-2-7b3b433c-d,46688,2,06:10:00,06:10:00,0
d279c678-2-7b3b433c-d,24370,3,06:11:00,06:11:00,0
d279c678-2-7b3b433c-d,24350,4,06:13:00,06:13:00,0
d279c678-2-7b3b433c-d,24340,5,06:13:00,06:13:00,0
d279c678-2-7b3b433c-d,24330,6,06:14:00,06:14:00,0
d279c678-2-7b3b433c-d,24320,7,06:15:00,06:15:00,0
d279c678-2-7b3b433c-d,24316,8,06:16:00,06:16:00,0
d279c678-2-7b3b433c-d,44115,9,06:16:00,06:16:00,0
d279c678-2-7b3b433c-d,44117,10,06:17:00,06:17:00,0
d279c678-2-7b3b433c-d,24300,11,06:18:00,06:18:00,1
d279c678-2-7b3b433c-d,24290,12,06:18:00,06:18:00,0
d279c678-2-7b3b433c-d,24280,13,06:18:00,06:18:00,0
d279c678-2-7b3b433c-d,24282,14,06:19:00,06:19:00,0
d279c678-2-7b3b433c-d,24283,15,06:20:00,06:20:00,0
d279c678-2-7b3b433c-d,24286,16,06:21:00,06:21:00,0
d279c678-2-7b3b433c-d,04570,17,06:23:00,06:23:00,0
d279c678-2-7b3b433c-d,04560,18,06:23:00,06:23:00,0
d279c678-2-7b3b433c-d,04550,19,06:24:00,06:24:00,0
d279c678-2-7b3b433c-d,04540,20,06:25:00,06:25:00,0
d279c678-2-7b3b433c-d,04530,21,06:25:00,06:25:00,0
d279c678-2-7b3b433c-d,04520,22,06:26:00,06:26:00,1
d279c678-2-7b3b433c-d,10550,23,06:27:00,06:27:00,0
d279c678-2-7b3b433c-d,38150,24,06:29:00,06:29:00,0
d279c678-2-7b3b433c-d,24190,25,06:30:00,06:30:00,0
d279c678-2-7b3b433c-d,24160,26,06:31:00,06:31:00,0
d279c678-2-7b3b433c-d,24130,27,06:32:00,06:32:00,0
d279c678-2-7b3b433c-d,24110,28,06:32:00,06:32:00,0
d279c678-2-7b3b433c-d,24080,29,06:33:00,06:33:00,0
d279c678-2-7b3b433c-d,24050,30,06:34:00,06:34:00,0
d279c678-2-7b3b433c-d,24030,31,06:34:00,06:34:00,1
d279c678-2-7b3b433c-d,23760,32,06:38:00,06:38:00,0
d279c678-2-7b3b433c-d,07520,33,06:43:00,06:43:00,0
d279c678-2-7b3b433c-d,07500,34,06:44:00,06:44:00,0
d279c678-2-7b3b433c-d,07480,35,06:44:00,06:44:00,0
d279c678-2-7b3b433c-d,45768,36,06:46:00,06:46:00,0
d279c678-2-7b3b433c-d,07380,37,06:46:00,06:46:00,0
d279c678-2-7b3b433c-d,32550,38,06:47:00,06:47:00,1
