trip_id,stop_id,stop_sequence,arrival_time,departure_time,timepoint
1869e5da-7-32333dcc-7,32550,1,05:29:00,05:29:00,1
1869e5da-7-32333dcc-7,25310,2,05:29:00,05:29:00,1
1869e5da-7-32333dcc-7,25390,3,05:30:00,05:30:00,1
1869e5da-7-32333dcc-7,25410,4,05:30:00,05:30:00,1
1869e5da-7-32333dcc-7,13060,5,05:40:00,05:40:00,1
1869e5da-7-32333dcc-7,13080,6,05:40:00,05:40:00,1
1869e5da-7-32333dcc-7,45800,7,05:42:00,05:42:00,1
1869e5da-7-32333dcc-7,13115,8,05:45:00,05:45:00,1
1869e5da-7-32333dcc-7,42355,9,05:50:00,05:50:00,1
0a7dc7c1-0-32333dcc-7,42355,1,05:55:00,05:55:00,1
0a7dc7c1-0-32333dcc-7,13100,2,05:59:00,05:59:00,1
0a7dc7c1-0-32333dcc-7,13095,3,06:00:00,06:00:00,1
0a7dc7c1-0-32333dcc-7,13090,4,06:00:00,06:00:00,1
0a7dc7c1-0-32333dcc-7,13070,5,06:01:00,06:01:00,1
0a7dc7c1-0-32333dcc-7,45768,6,06:24:00,06:24:00,1
0a7dc7c1-0-32333dcc-7,07380,7,06:24:00,06:24:00,1
0a7dc7c1-0-32333dcc-7,32550,8,06:25:00,06:25:00,1
0a7dc7c1-0-32333dcc-7,25650,9,06:26:00,06:26:00,1
0a7dc7c1-0-32333dcc-7,05710,10,06:28:00,06:28:00,1
0a7dc7c1-0-32333dcc-7,05690,11,06:29:00,06:29:00,1
0a7dc7c1-0-32333dcc-7,30760,12,06:30:00,06:30:00,1
0a7dc7c1-0-32333dcc-7,59591,13,06:35:00,06:35:00,1
0a7dc7c1-0-32333dcc-7,59581,14,06:37:00,06:37:00,1
06c07165-a-32333dcc-7,32550,1,06:14:00,06:14:00,1
06c07165-a-32333dcc-7,25310,2,06:14:00,06:14:00,1
06c07165-a-32333dcc-7,25390,3,06:15:00,06:15:00,1
06c07165-a-32333dcc-7,25410,4,06:15:00,06:15:00,1
06c07165-a-32333dcc-7,13060,5,06:25:00,06:25:00,1
06c07165-a-32333dcc-7,13080,6,06:25:00,06:25:00,1
06c07165-a-32333dcc-7,45800,7,06:27:00,06:27:00,1
06c07165-a-32333dcc-7,13115,8,06:30:00,06:30:00,1
06c07165-a-32333dcc-7,42355,9,06:35:00,06:35:00,1
78a6b99c-9-32333dcc-7,42355,1,06:15:00,06:15:00,1
78a6b99c-9-32333dcc-7,13100,2,06:19:00,06:19:00,1
78a6b99c-9-32333dcc-7,13095,3,06:20:00,06:20:00,1
78a6b99c-9-32333dcc-7,13090,4,06:20:00,06:20:00,1
78a6b99c-9-32333dcc-7,13070,5,06:21:00,06:21:00,1
78a6b99c-9-32333dcc-7,45768,6,06:44:00,06:44:00,1
78a6b99c-9-32333dcc-7,07380,7,06:44:00,06:44:00,1
78a6b99c-9-32333dcc-7,32550,8,06:45:00,06:45:00,1
78a6b99c-9-32333dcc-7,25650,9,06:46:00,06:46:00,1
78a6b99c-9-32333dcc-7,05710,10,06:48:00,06:48:00,1
78a6b99c-9-32333dcc-7,05690,11,06:49:00,06:49:00,1
78a6b99c-9-32333dcc-7,30760,12,06:50:00,06:50:00,1
78a6b99c-9-32333dcc-7,59591,13,06:55:00,06:55:00,1
78a6b99c-9-32333dcc-7,59581,14,06:57:00,06:57:00,1
43c7e16f-b-32333dcc-7,42355,1,06:40:00,06:40:00,1
43c7e16f-b-32333dcc-7,13100,2,06:45:00,06:45:00,1
43c7e16f-b-32333dcc-7,13095,3,06:45:00,06:45:00,1
43c7e16f-b-32333dcc-7,13090,4,06:46:00,06:46:00,1
43c7e16f-b-32333dcc-7,13070,5,06:47:00,06:47:00,1
43c7e16f-b-32333dcc-7,45768,6,07:10:00,07:10:00,1
43c7e16f-b-32333dcc-7,07380,7,07:10:00,07:10:00,1
43c7e16f-b-32333dcc-7,32550,8,07:11:00,07:11:00,1
43c7e16f-b-32333dcc-7,25650,9,07:12:00,07:12:00,1
43c7e16f-b-32333dcc-7,05710,10,07:14:00,07:14:00,1
43c7e16f-b-32333dcc-7,05690,11,07:15:00,07:15:00,1
43c7e16f-b-32333dcc-7,30760,12,07:16:00,07:16:00,1
43c7e16f-b-32333dcc-7,59591,13,07:21:00,07:21:00,1
43c7e16f-b-32333dcc-7,59581,14,07:23:00,07:23:00,1
9d00132c-a-32333dcc-7,42355,1,07:00:00,07:00:00,1
9d00132c-a-32333dcc-7,13100,2,07:05:00,07:05:00,1
9d00132c-a-32333dcc-7,13095,3,07:05:00,07:05:00,1
9d00132c-a-32333dcc-7,13090,4,07:06:00,07:06:00,1
9d00132c-a-32333dcc-7,13070,5,07:07:00,07:07:00,1
9d00132c-a-32333dcc-7,45768,6,07:33:00,07:33:00,1
9d00132c-a-32333dcc-7,07380,7,07:33:00,07:33:00,1
9d00132c-a-32333dcc-7,32550,8,07:34:00,07:34:00,1
9d00132c-a-32333dcc-7,25650,9,07:35:00,07:35:00,1
9d00132c-a-32333dcc-7,05710,10,07:37:00,07:37:00,1
9d00132c-a-32333dcc-7,05690,11,07:38:00,07:38:00,1
9d00132c-a-32333dcc-7,30760,12,07:39:00,07:39:00,1
9d00132c-a-32333dcc-7,59591,13,07:44:00,07:44:00,1
9d00132c-a-32333dcc-7,59581,14,07:46:00,07:46:00,1
63d84f92-3-32333dcc-7,42355,1,07:15:00,07:15:00,1
63d84f92-3-32333dcc-7,13100,2,07:20:00,07:20:00,1
63d84f92-3-32333dcc-7,13095,3,07:20:00,07:20:00,1
63d84f92-3-32333dcc-7,13090,4,07:21:00,07:21:00,1
63d84f92-3-32333dcc-7,13070,5,07:22:00,07:22:00,1
63d84f92-3-32333dcc-7,45768,6,07:50:00,07:50:00,1
63d84f92-3-32333dcc-7,07380,7,07:50:00,07:50:00,1
63d84f92-3-32333dcc-7,32550,8,07:51:00,07:51:00,1
63d84f92-3-32333dcc-7,25650,9,07:52:00,07:52:00,1
63d84f92-3-32333dcc-7,05710,10,07:54:00,07:54:00,1
63d84f92-3-32333dcc-7,05690,11,07:55:00,07:55:00,1
63d84f92-3-32333dcc-7,30760,12,07:56:00,07:56:00,1
63d84f92-3-32333dcc-7,59591,13,08:01:00,08:01:00,1
63d84f92-3-32333dcc-7,59581,14,08:03:00,08:03:00,1
b35d7558-a-32333dcc-7,42355,1,07:30:00,07:30:00,1
b35d7558-a-32333dcc-7,13100,2,07:35:00,07:35:00,1
b35d7558-a-32333dcc-7,13095,3,07:35:00,07:35:00,1
b35d7558-a-32333dcc-7,13090,4,07:36:00,07:36:00,1
b35d7558-a-32333dcc-7,13070,5,07:37:00,07:37:00,1
b35d7558-a-32333dcc-7,45768,6,08:05:00,08:05:00,1
b35d7558-a-32333dcc-7,07380,7,08:05:00,08:05:00,1
b35d7558-a-32333dcc-7,32550,8,08:06:00,08:06:00,1
b35d7558-a-32333dcc-7,25650,9,08:07:00,08:07:00,1
b35d7558-a-32333dcc-7,05710,10,08:09:00,08:09:00,1
b35d7558-a-32333dcc-7,05690,11,08:10:00,08:10:00,1
b35d7558-a-32333dcc-7,30760,12,08:11:00,08:11:00,1
b35d7558-a-32333dcc-7,59591,13,08:16:00,08:16:00,1
b35d7558-a-32333dcc-7,59581,14,08:18:00,08:18:00,1
ac74462a-7-32333dcc-7,42355,1,07:45:00,07:45:00,1
ac74462a-7-32333dcc-7,13100,2,07:50:00,07:50:00,1
ac74462a-7-32333dcc-7,13095,3,07:50:00,07:50:00,1
ac74462a-7-32333dcc-7,13090,4,07:51:00,07:51:00,1
ac74462a-7-32333dcc-7,13070,5,07:52:00,07:52:00,1
ac74462a-7-32333dcc-7,45768,6,08:20:00,08:20:00,1
ac74462a-7-32333dcc-7,07380,7,08:20:00,08:20:00,1
ac74462a-7-32333dcc-7,32550,8,08:21:00,08:21:00,1
ac74462a-7-32333dcc-7,25650,9,08:22:00,08:22:00,1
ac74462a-7-32333dcc-7,05710,10,08:24:00,08:24:00,1
ac74462a-7-32333dcc-7,05690,11,08:25:00,08:25:00,1
ac74462a-7-32333dcc-7,30760,12,08:26:00,08:26:00,1
ac74462a-7-32333dcc-7,59591,13,08:31:00,08:31:00,1
ac74462a-7-32333dcc-7,59581,14,08:33:00,08:33:00,1
8aa61ca1-b-32333dcc-7,42355,1,08:00:00,08:00:00,1
8aa61ca1-b-32333dcc-7,13100,2,08:04:00,08:04:00,1
8aa61ca1-b-32333dcc-7,13095,3,08:05:00,08:05:00,1
8aa61ca1-b-32333dcc-7,13090,4,08:05:00,08:05:00,1
8aa61ca1-b-32333dcc-7,13070,5,08:06:00,08:06:00,1
8aa61ca1-b-32333dcc-7,45768,6,08:30:00,08:30:00,1
8aa61ca1-b-32333dcc-7,07380,7,08:30:00,08:30:00,1
8aa61ca1-b-32333dcc-7,32550,8,08:31:00,08:31:00,1
8aa61ca1-b-32333dcc-7,25650,9,08:32:00,08:32:00,1
8aa61ca1-b-32333dcc-7,05710,10,08:34:00,08:34:00,1
8aa61ca1-b-32333dcc-7,05690,11,08:35:00,08:35:00,1
8aa61ca1-b-32333dcc-7,30760,12,08:36:00,08:36:00,1
8aa61ca1-b-32333dcc-7,59591,13,08:41:00,08:41:00,1
8aa61ca1-b-32333dcc-7,59581,14,08:43:00,08:43:00,1
fc2c9d06-9-32333dcc-7,42355,1,08:20:00,08:20:00,1
fc2c9d06-9-32333dcc-7,13100,2,08:24:00,08:24:00,1
fc2c9d06-9-32333dcc-7,13095,3,08:25:00,08:25:00,1
fc2c9d06-9-32333dcc-7,13090,4,08:25:00,08:25:00,1
fc2c9d06-9-32333dcc-7,13070,5,08:26:00,08:26:00,1
fc2c9d06-9-32333dcc-7,45768,6,08:50:00,08:50:00,1
fc2c9d06-9-32333dcc-7,07380,7,08:50:00,08:50:00,1
fc2c9d06-9-32333dcc-7,32550,8,08:51:00,08:51:00,1
fc2c9d06-9-32333dcc-7,25650,9,08:52:00,08:52:00,1
fc2c9d06-9-32333dcc-7,05710,10,08:54:00,08:54:00,1
fc2c9d06-9-32333dcc-7,05690,11,08:55:00,08:55:00,1
fc2c9d06-9-32333dcc-7,30760,12,08:56:00,08:56:00,1
fc2c9d06-9-32333dcc-7,59591,13,09:01:00,09:01:00,1
fc2c9d06-9-32333dcc-7,59581,14,09:03:00,09:03:00,1
dbedda13-e-32333dcc-7,59580,1,16:15:00,16:15:00,1
dbedda13-e-32333dcc-7,59590,2,16:16:00,16:16:00,1
dbedda13-e-32333dcc-7,37380,3,16:20:00,16:20:00,1
dbedda13-e-32333dcc-7,25360,4,16:20:00,16:20:00,1
dbedda13-e-32333dcc-7,25330,5,16:20:00,16:20:00,1
dbedda13-e-32333dcc-7,25310,6,16:21:00,16:21:00,1
dbedda13-e-32333dcc-7,25390,7,16:22:00,16:22:00,1
dbedda13-e-32333dcc-7,25410,8,16:23:00,16:23:00,1
dbedda13-e-32333dcc-7,13060,9,16:50:00,16:50:00,1
dbedda13-e-32333dcc-7,13080,10,16:51:00,16:51:00,1
dbedda13-e-32333dcc-7,45800,11,16:52:00,16:52:00,1
dbedda13-e-32333dcc-7,13110,12,16:53:00,16:53:00,1
dbedda13-e-32333dcc-7,13115,13,16:55:00,16:55:00,1
dbedda13-e-32333dcc-7,42355,14,16:58:00,16:58:00,1
187df45f-9-32333dcc-7,59580,1,16:35:00,16:35:00,1
187df45f-9-32333dcc-7,59590,2,16:36:00,16:36:00,1
187df45f-9-32333dcc-7,37380,3,16:40:00,16:40:00,1
187df45f-9-32333dcc-7,25360,4,16:40:00,16:40:00,1
187df45f-9-32333dcc-7,25330,5,16:40:00,16:40:00,1
187df45f-9-32333dcc-7,25310,6,16:41:00,16:41:00,1
187df45f-9-32333dcc-7,25390,7,16:42:00,16:42:00,1
187df45f-9-32333dcc-7,25410,8,16:43:00,16:43:00,1
187df45f-9-32333dcc-7,13060,9,17:10:00,17:10:00,1
187df45f-9-32333dcc-7,13080,10,17:11:00,17:11:00,1
187df45f-9-32333dcc-7,45800,11,17:12:00,17:12:00,1
187df45f-9-32333dcc-7,13110,12,17:13:00,17:13:00,1
187df45f-9-32333dcc-7,13115,13,17:15:00,17:15:00,1
187df45f-9-32333dcc-7,42355,14,17:19:00,17:19:00,1
62085246-f-32333dcc-7,59580,1,16:50:00,16:50:00,1
62085246-f-32333dcc-7,59590,2,16:51:00,16:51:00,1
62085246-f-32333dcc-7,37380,3,16:55:00,16:55:00,1
62085246-f-32333dcc-7,25360,4,16:55:00,16:55:00,1
62085246-f-32333dcc-7,25330,5,16:55:00,16:55:00,1
62085246-f-32333dcc-7,25310,6,16:56:00,16:56:00,1
62085246-f-32333dcc-7,25390,7,16:57:00,16:57:00,1
62085246-f-32333dcc-7,25410,8,16:58:00,16:58:00,1
62085246-f-32333dcc-7,13060,9,17:25:00,17:25:00,1
62085246-f-32333dcc-7,13080,10,17:26:00,17:26:00,1
62085246-f-32333dcc-7,45800,11,17:27:00,17:27:00,1
62085246-f-32333dcc-7,13110,12,17:28:00,17:28:00,1
62085246-f-32333dcc-7,13115,13,17:30:00,17:30:00,1
62085246-f-32333dcc-7,42355,14,17:34:00,17:34:00,1
867118f5-7-32333dcc-7,42355,1,17:03:00,17:03:00,1
867118f5-7-32333dcc-7,13100,2,17:12:00,17:12:00,1
867118f5-7-32333dcc-7,13095,3,17:13:00,17:13:00,1
867118f5-7-32333dcc-7,13090,4,17:14:00,17:14:00,1
867118f5-7-32333dcc-7,13070,5,17:16:00,17:16:00,1
867118f5-7-32333dcc-7,17200,6,17:28:00,17:28:00,1
867118f5-7-32333dcc-7,25420,7,17:29:00,17:29:00,1
867118f5-7-32333dcc-7,32550,8,17:29:00,17:29:00,1
e146279d-7-32333dcc-7,59580,1,17:10:00,17:10:00,1
e146279d-7-32333dcc-7,59590,2,17:11:00,17:11:00,1
e146279d-7-32333dcc-7,37380,3,17:15:00,17:15:00,1
e146279d-7-32333dcc-7,25360,4,17:15:00,17:15:00,1
e146279d-7-32333dcc-7,25330,5,17:15:00,17:15:00,1
e146279d-7-32333dcc-7,25310,6,17:16:00,17:16:00,1
e146279d-7-32333dcc-7,25390,7,17:17:00,17:17:00,1
e146279d-7-32333dcc-7,25410,8,17:18:00,17:18:00,1
e146279d-7-32333dcc-7,13060,9,17:45:00,17:45:00,1
e146279d-7-32333dcc-7,13080,10,17:46:00,17:46:00,1
e146279d-7-32333dcc-7,45800,11,17:47:00,17:47:00,1
e146279d-7-32333dcc-7,13110,12,17:48:00,17:48:00,1
e146279d-7-32333dcc-7,13115,13,17:50:00,17:50:00,1
e146279d-7-32333dcc-7,42355,14,17:54:00,17:54:00,1
bdd2e01f-b-32333dcc-7,42355,1,17:24:00,17:24:00,1
bdd2e01f-b-32333dcc-7,13100,2,17:33:00,17:33:00,1
bdd2e01f-b-32333dcc-7,13095,3,17:34:00,17:34:00,1
bdd2e01f-b-32333dcc-7,13090,4,17:35:00,17:35:00,1
bdd2e01f-b-32333dcc-7,13070,5,17:37:00,17:37:00,1
bdd2e01f-b-32333dcc-7,17200,6,17:49:00,17:49:00,1
bdd2e01f-b-32333dcc-7,25420,7,17:50:00,17:50:00,1
bdd2e01f-b-32333dcc-7,32550,8,17:50:00,17:50:00,1
a65fc8d7-7-32333dcc-7,59580,1,17:30:00,17:30:00,1
a65fc8d7-7-32333dcc-7,59590,2,17:31:00,17:31:00,1
a65fc8d7-7-32333dcc-7,37380,3,17:35:00,17:35:00,1
a65fc8d7-7-32333dcc-7,25360,4,17:35:00,17:35:00,1
a65fc8d7-7-32333dcc-7,25330,5,17:35:00,17:35:00,1
a65fc8d7-7-32333dcc-7,25310,6,17:36:00,17:36:00,1
a65fc8d7-7-32333dcc-7,25390,7,17:37:00,17:37:00,1
a65fc8d7-7-32333dcc-7,25410,8,17:38:00,17:38:00,1
a65fc8d7-7-32333dcc-7,13060,9,18:05:00,18:05:00,1
a65fc8d7-7-32333dcc-7,13080,10,18:06:00,18:06:00,1
a65fc8d7-7-32333dcc-7,45800,11,18:07:00,18:07:00,1
a65fc8d7-7-32333dcc-7,13110,12,18:08:00,18:08:00,1
a65fc8d7-7-32333dcc-7,13115,13,18:10:00,18:10:00,1
a65fc8d7-7-32333dcc-7,42355,14,18:14:00,18:14:00,1
2be2b492-1-32333dcc-7,59580,1,17:45:00,17:45:00,1
2be2b492-1-32333dcc-7,59590,2,17:46:00,17:46:00,1
2be2b492-1-32333dcc-7,37380,3,17:50:00,17:50:00,1
2be2b492-1-32333dcc-7,25360,4,17:50:00,17:50:00,1
2be2b492-1-32333dcc-7,25330,5,17:50:00,17:50:00,1
2be2b492-1-32333dcc-7,25310,6,17:51:00,17:51:00,1
2be2b492-1-32333dcc-7,25390,7,17:51:00,17:51:00,1
2be2b492-1-32333dcc-7,25410,8,17:52:00,17:52:00,1
2be2b492-1-32333dcc-7,13060,9,18:12:00,18:12:00,1
2be2b492-1-32333dcc-7,13080,10,18:13:00,18:13:00,1
2be2b492-1-32333dcc-7,45800,11,18:14:00,18:14:00,1
2be2b492-1-32333dcc-7,13110,12,18:15:00,18:15:00,1
2be2b492-1-32333dcc-7,13115,13,18:17:00,18:17:00,1
2be2b492-1-32333dcc-7,42355,14,18:20:00,18:20:00,1
c77cde60-a-32333dcc-7,59580,1,18:05:00,18:05:00,1
c77cde60-a-32333dcc-7,59590,2,18:06:00,18:06:00,1
c77cde60-a-32333dcc-7,37380,3,18:10:00,18:10:00,1
c77cde60-a-32333dcc-7,25360,4,18:10:00,18:10:00,1
c77cde60-a-32333dcc-7,25330,5,18:10:00,18:10:00,1
c77cde60-a-32333dcc-7,25310,6,18:11:00,18:11:00,1
c77cde60-a-32333dcc-7,25390,7,18:11:00,18:11:00,1
c77cde60-a-32333dcc-7,25410,8,18:12:00,18:12:00,1
c77cde60-a-32333dcc-7,13060,9,18:32:00,18:32:00,1
c77cde60-a-32333dcc-7,13080,10,18:33:00,18:33:00,1
c77cde60-a-32333dcc-7,45800,11,18:34:00,18:34:00,1
c77cde60-a-32333dcc-7,13110,12,18:35:00,18:35:00,1
c77cde60-a-32333dcc-7,13115,13,18:37:00,18:37:00,1
c77cde60-a-32333dcc-7,42355,14,18:40:00,18:40:00,1
0648a6d8-2-32333dcc-7,59580,1,18:35:00,18:35:00,1
0648a6d8-2-32333dcc-7,59590,2,18:36:00,18:36:00,1
0648a6d8-2-32333dcc-7,37380,3,18:40:00,18:40:00,1
0648a6d8-2-32333dcc-7,25360,4,18:40:00,18:40:00,1
0648a6d8-2-32333dcc-7,25330,5,18:40:00,18:40:00,1
0648a6d8-2-32333dcc-7,25310,6,18:41:00,18:41:00,1
0648a6d8-2-32333dcc-7,25390,7,18:41:00,18:41:00,1
0648a6d8-2-32333dcc-7,25410,8,18:42:00,18:42:00,1
0648a6d8-2-32333dcc-7,13060,9,19:02:00,19:02:00,1
0648a6d8-2-32333dcc-7,13080,10,19:03:00,19:03:00,1
0648a6d8-2-32333dcc-7,45800,11,19:04:00,19:04:00,1
0648a6d8-2-32333dcc-7,13110,12,19:05:00,19:05:00,1
0648a6d8-2-32333dcc-7,13115,13,19:07:00,19:07:00,1
0648a6d8-2-32333dcc-7,42355,14,19:10:00,19:10:00,1
a8fa6937-1-32333dcc-7,42355,1,06:05:00,06:05:00,1
a8fa6937-1-32333dcc-7,42358,2,06:07:00,06:07:00,0
a8fa6937-1-32333dcc-7,45932,3,06:09:00,06:09:00,0
a8fa6937-1-32333dcc-7,40159,4,06:10:00,06:10:00,0
a8fa6937-1-32333dcc-7,41130,5,06:10:00,06:10:00,0
a8fa6937-1-32333dcc-7,37210,6,06:13:00,06:13:00,0
