stop_id,stop_code,stop_name,stop_lat,stop_lon
59580,,Johnson & Wales Way & 4th St,35.233147,-80.852583
59590,,4th St & Cedar St,35.231797,-80.850783
37380,,College St & 2nd St,35.22366,-80.845635
25360,,College St & 3rd St,35.224455,-80.844508
25330,,College St & 4th St,35.225372,-80.843137
25310,,College St & 6th St,35.227712,-80.839776
25390,,College St & 8th St,35.229222,-80.837706
25410,,College St & 11th St,35.231073,-80.835132
13060,,Independence Blvd @ 7016,35.165965,-80.74214
13080,,Independence Blvd & Village Lake Dr,35.161451,-80.738469
45800,,Independence Blvd & Krefeld Dr,35.157184,-80.733834
13110,,Independence Blvd & Calibre Crossing Dr,35.154105,-80.730643
13115,,Independence Blvd & Sardis Rd North,35.147816,-80.725046
42355,,Matthews Park & Ride,35.134297,-80.715534
13100,,Independence Blvd @ Cross Creek Apts,35.154745,-80.730861
13095,,Independence Blvd @ Woodway Point Apts,35.156329,-80.732454
13090,,Independence Blvd & Krefeld Dr,35.158131,-80.734427
13070,,Independence Blvd & Village Lake Dr,35.162486,-80.739124
45768,,4th St & McDowell St,35.220686,-80.837385
07380,,4th St & Davidson St,35.222016,-80.839027
32550,,Transit Center- Bay X,35.224447,-80.841852
25650,,4th St & Tryon St,35.226379,-80.843945
05710,,Church St & 3rd St,35.226847,-80.846066
05690,,Church St & 1st St,35.225307,-80.848352
30760,,Stonewall St & Mint St,35.225148,-80.8501
59591,,4th St & Cedar St,35.231507,-80.850143
59581,,Johnson & Wales Way @ Doubletree,35.23359,-80.852415
17200,,Davidson St & 5th St,35.224038,-80.836535
25420,,Davidson St & 4th St,35.222418,-80.838809
49501,,Village Lake Dr & Creekridge Rd,35.161557,-80.742965
49511,,Village Lake Dr & Woodscape Dr,35.159743,-80.747318
16420,,Monroe Rd & McAlpine Station Dr,35.155347,-80.748174
16450,,Monroe Rd @ 8516,35.153482,-80.746962
16490,,Monroe Rd & Covedale Dr,35.147477,-80.745097
16521,,Monroe Rd & Orchard Lake Dr,35.145086,-80.74283
16540,,Monroe Rd & Orchard Lake Dr,35.143616,-80.741428
16560,,Monroe Rd & Orchard Lake Dr,35.142176,-80.740524
16580,,Monroe Rd & Sardis Rd North,35.140107,-80.73958
37460,,Monroe Rd & Sardis Rd North,35.137925,-80.738623
37520,,Monroe Rd & Galleria Blvd,35.134929,-80.737071
37510,,Monroe Rd @ Drake Apts,35.131336,-80.735088
37490,,Monroe Rd @ 10600 (Animal Clinic),35.128806,-80.732522
46477,,Monroe Rd @ 10804,35.126555,-80.730409
45948,,Monroe Rd & Matthews Township Pkwy,35.123648,-80.729251
36480,,Monroe Rd & Hwy 51,35.120319,-80.727963
37480,,John St & Ames Rd,35.117258,-80.724493
37170,,Trade St & Matthews Station St,35.117482,-80.720893
45922,,Matthews-Mint Hill Rd & Crestdale Rd,35.117774,-80.71021
41135,,Matthews Township Pkwy & Paces Ave,35.122019,-80.713181
45924,,Sam Newell Rd & Mann Dr,35.124168,-80.717873
42357,,Sam Newell Rd & Matthews Commons Dr,35.132559,-80.718706
42358,,Sam Newell Rd & Matthews Commons Dr,35.131724,-80.719234
45932,,Sam Newell Rd & Mann Dr,35.124111,-80.718002
40159,,Matthews Township Pkwy & Sam Newell Rd,35.121801,-80.716137
41130,,Matthews Township Pkwy & Paces Ave,35.121832,-80.713185
37210,,Independence Pointe Pkwy & Matthews-Mint Hill Rd,35.118694,-80.706389
37220,,Matthews-Mint Hill Rd & Crestdale Rd,35.11788,-80.708464
37250,,Matthews-Mint Hill Rd @ 701 (Conbraco),35.117831,-80.710669
37230,,Matthews-Mint Hill Rd @ Presbyterian Hospital,35.117712,-80.71283
37240,,Trade St & Charles St,35.117367,-80.721238
07650,,John St & Ames Rd,35.11715,-80.72417
16640,,Monroe Rd & Lois St,35.12089,-80.727989
45119,,Monroe Rd & Hwy 51,35.123807,-80.729107
45957,,Monroe Rd @ 10801,35.12678,-80.730298
16630,,Monroe Rd @ 10701,35.128252,-80.731694
16620,,Monroe Rd @ Family Dollar,35.131499,-80.735004
16610,,Monroe Rd & Galleria Blvd,35.134038,-80.736413
37465,,Monroe Rd & Sardis Rd North (Eckerd Drugs),35.138026,-80.738462
16600,,Monroe Rd & Sardis Rd North,35.139798,-80.739249
16550,,Monroe Rd & Delmar Office Dr,35.142228,-80.740348
16520,,Monroe Rd @ Greylyn Park,35.14521,-80.74265
16510,,Monroe Rd & Covedale Dr,35.146911,-80.744336
16480,,Monroe Rd @ 8539,35.153298,-80.7466
16430,,Monroe Rd & Timber Springs Dr,35.155246,-80.747828
49510,,Village Lake Dr & Woodscape Dr,35.159249,-80.747166
49500,,Village Lake Dr & Creekridge Rd,35.161504,-80.742514
38420,,4th St & Poplar St,35.227629,-80.845557
59660,,4th St & Graham St,35.229382,-80.847612
49955,,Craven Thomas Rd & Benfield Rd,35.369778,-80.7881
45815,,Northlake Mall Park & Ride,35.352833,-80.855219
45818,,Northlake Mall (1st stop),35.350306,-80.854621
45813,,Northlake Mall (2nd Stop),35.349871,-80.854054
45382,,Reames Rd & Perimeter Pkwy,35.344751,-80.857788
45377,,Reames Rd & Bayview Pkwy,35.340527,-80.858024
46488,,Reames Rd & Auston Crossing Dr,35.336159,-80.854154
37410,,Church St & 9th St,35.232342,-80.838232
60020,,Church St & 6th St,35.229836,-80.841826
45010,,3rd St & Tryon St,35.225766,-80.845539
08250,,3rd St & McDowell St,35.218933,-80.837783
45011,,3rd St & College St,35.224742,-80.844335
08220,,3rd St & Brevard St,35.223492,-80.842991
08230,,3rd St & Davidson St,35.221474,-80.840529
08240,,3rd St @ Marshall Park,35.22004,-80.838876
place_MDL4TH,,4th & McDowell,35.221278,-80.838247
36140,,Transit Center- Bay A,35.225052,-80.840639
25270,,Brevard St & Martin Luther King Jr Blvd,35.222573,-80.843063
place_TRANCT,,Charlotte Transportation Center,35.224463,-80.841077
46489,,Reames Rd & Auston Crossing Dr,35.33627,-80.85409
45378,,Reames Rd & Perimeter Pkwy,35.344775,-80.857519
49950,,Ridge Rd Park and Ride,35.372606,-80.786828
45601,,Rea Rd @ St. Matthews Church Park & Ride,35.056231,-80.812608
46688,,Elm Ln & Williams Pond Ln,35.053938,-80.814365
24370,,Rea Rd & Piper Station Dr,35.061197,-80.813481
24350,,Rea Rd & Piper Glen Dr,35.067162,-80.817795
24340,,Rea Rd & Old Course Dr,35.071279,-80.819251
24330,,Rea Rd & Bevington Pl,35.078366,-80.816507
24320,,Rea Rd @ Calvary Park & Ride,35.081935,-80.813474
24316,,Rea Rd & Pineville-Matthews Rd,35.086301,-80.811863
44115,,Rea Rd & Sundancer Ln,35.089414,-80.811335
44117,,Rea Rd & Five Knolls Dr,35.092918,-80.810514
24300,,Rea Rd & Carmel Estates Rd,35.096827,-80.809615
24290,,Rea Rd & Macandrew Dr,35.100007,-80.808863
24280,,Rea Rd & Reacroft Dr,35.103905,-80.80795
24282,,Colony Rd & Wisley Blvd,35.106585,-80.808096
24283,,Colony Rd & Abbotswood Dr,35.11408,-80.804805
24286,,Colony Rd & Morrowick Rd,35.119203,-80.807748
04570,,Carmel Rd & Camilla Dr,35.133201,-80.807718
04560,,Carmel Rd & Thornridge Rd,35.135303,-80.806037
04550,,Carmel Rd & Sharon View Rd,35.139034,-80.802824
04540,,Carmel Rd & Crooked Oak Ln,35.141426,-80.801612
04530,,Carmel Rd & Wandering Way Dr,35.144708,-80.801404
04520,,Carmel Rd & Carmel Park Ln,35.14727,-80.801745
10550,,Fairview Rd & Oglukian Rd,35.151455,-80.797896
38150,,Sardis Rd & Coventry Row Ct,35.156942,-80.792432
24190,,Randolph Rd & Sardis Rd,35.160764,-80.787432
24160,,Randolph Rd & Shasta Ln,35.163752,-80.791999
24130,,Randolph Rd & Rembrandt Cir,35.165843,-80.794274
24110,,Randolph Rd & Hunter Ln,35.168423,-80.795231
24080,,Randolph Rd @ 4801,35.171499,-80.79644
24050,,Randolph Rd & Gaynor Rd,35.174636,-80.797661
24030,,Randolph Rd & Sharon Amity Rd,35.176515,-80.798656
23760,,Randolph Rd & Billingsley Rd,35.191216,-80.810875
07520,,4th St & Hawthorne Ln,35.211622,-80.825667
07500,,4th St & Torrence St,35.213273,-80.827951
07480,,4th St & Kings Dr,35.215738,-80.831425
08260,,3rd St & Kings Dr,35.214431,-80.831634
45825,,3rd St & Torrence St,35.212609,-80.829527
42280,,3rd St & Queens Rd,35.210982,-80.827983
07540,,4th St & Hawthorne Ln,35.211657,-80.825885
23770,,Randolph Rd & Billingsley Rd,35.191206,-80.811048
23980,,Randolph Rd & Sharon Amity Rd,35.174628,-80.797814
38200,,Randolph Rd & Randolph Oaks Ct,35.171536,-80.796598
24090,,Randolph Rd & Beckham Ct,35.168785,-80.795497
24150,,Randolph Rd & Willhaven Dr,35.164083,-80.792502
38060,,Randolph Rd & Sardis Rd,35.160485,-80.787336
38106,,Sardis Rd & Providence Rd,35.156324,-80.793489
38100,,Fairview Rd & Providence Rd,35.153808,-80.795612
