route_id,service_id,trip_id,trip_headsign,block_id,shape_id
74x,TRYON-Weekday-1-BUS-19-10-1111100,3622287,Inbound,730736,74x0096
74x,TRYON-Weekday-1-BUS-19-10-1111100,3622311,Inbound,730744,74x0096
74x,TRYON-Weekday-1-BUS-19-10-1111100,3622343,Inbound,730751,74x0096
74x,TRYON-Weekday-1-BUS-19-10-1111100,3622754,Inbound,730778,74x0081
74x,TRYON-Weekday-1-BUS-19-10-1111100,3623486,Outbound,730790,74x0095
74x,TRYON-Weekday-1-BUS-19-10-1111100,3623489,Outbound,730751,74x0083
74x,TRYON-Weekday-1-BUS-19-10-1111100,3623492,Outbound,730778,74x0095
74x,TRYON-Weekday-1-BUS-19-10-1111100,3623497,Outbound,730804,74x0095
74x,TRYON-Weekday-2-BUS-19-06-1111100,3580858,Inbound,732882,74x0090
74x,TRYON-Weekday-2-BUS-19-06-1111100,3580882,Inbound,732889,74x0090
74x,TRYON-Weekday-2-BUS-19-06-1111100,3580914,Inbound,732896,74x0090
74x,TRYON-Weekday-2-BUS-19-06-1111100,3581325,Inbound,732872,74x0081
74x,TRYON-Weekday-2-BUS-19-06-1111100,3582057,Outbound,732860,74x0095
74x,TRYON-Weekday-2-BUS-19-06-1111100,3582060,Outbound,732896,74x0083
74x,TRYON-Weekday-2-BUS-19-06-1111100,3582063,Outbound,732872,74x0095
74x,TRYON-Weekday-2-BUS-19-06-1111100,3582068,Outbound,732865,74x0095
82x,TRYON-Weekday-1-BUS-19-10-1111100,3622073,Inbound,730813,82x0055
82x,TRYON-Weekday-1-BUS-19-10-1111100,3622078,Inbound,730814,82x0055
82x,TRYON-Weekday-1-BUS-19-10-1111100,3622085,Inbound,730815,82x0055
82x,TRYON-Weekday-1-BUS-19-10-1111100,3622093,Inbound,730817,82x0055
82x,TRYON-Weekday-1-BUS-19-10-1111100,3622641,Outbound,730820,82x0054
82x,TRYON-Weekday-1-BUS-19-10-1111100,3622669,Outbound,730823,82x0054
82x,TRYON-Weekday-1-BUS-19-10-1111100,3622693,Outbound,730824,82x0054
82x,TRYON-Weekday-1-BUS-19-10-1111100,3622722,Outbound,730826,82x0054
82x,TRYON-Weekday-2-BUS-19-06-1111100,3580644,Inbound,732918,82x0055
82x,TRYON-Weekday-2-BUS-19-06-1111100,3580649,Inbound,732886,82x0055
82x,TRYON-Weekday-2-BUS-19-06-1111100,3580656,Inbound,732853,82x0055
82x,TRYON-Weekday-2-BUS-19-06-1111100,3580664,Inbound,732855,82x0055
82x,TRYON-Weekday-2-BUS-19-06-1111100,3581212,Outbound,732919,82x0054
82x,TRYON-Weekday-2-BUS-19-06-1111100,3581240,Outbound,732852,82x0054
82x,TRYON-Weekday-2-BUS-19-06-1111100,3581264,Outbound,732846,82x0054
82x,TRYON-Weekday-2-BUS-19-06-1111100,3581293,Outbound,732920,82x0054
85x,TRYON-Weekday-1-BUS-19-10-1111100,3622028,Inbound,730812,85x0068
85x,TRYON-Weekday-1-BUS-19-10-1111100,3622053,Outbound,730812,85x0066
85x,TRYON-Weekday-1-BUS-19-10-1111100,3622079,Inbound,730816,85x0068
85x,TRYON-Weekday-1-BUS-19-10-1111100,3622084,Inbound,730812,85x0068
85x,TRYON-Weekday-1-BUS-19-10-1111100,3622090,Inbound,730818,85x0068
85x,TRYON-Weekday-1-BUS-19-10-1111100,3622110,Inbound,730819,85x0068
85x,TRYON-Weekday-1-BUS-19-10-1111100,3622477,Outbound,730819,85x0067
85x,TRYON-Weekday-1-BUS-19-10-1111100,3622639,Outbound,730821,85x0067
85x,TRYON-Weekday-1-BUS-19-10-1111100,3622667,Outbound,730822,85x0067
85x,TRYON-Weekday-1-BUS-19-10-1111100,3622691,Outbound,730825,85x0067
85x,TRYON-Weekday-1-BUS-19-10-1111100,3622725,Inbound,730821,85x0069
85x,TRYON-Weekday-1-BUS-19-10-1111100,3622744,Outbound,730821,85x0067
85x,TRYON-Weekday-2-BUS-19-06-1111100,3580599,Inbound,732858,85x0068
85x,TRYON-Weekday-2-BUS-19-06-1111100,3580624,Outbound,732858,85x0066
85x,TRYON-Weekday-2-BUS-19-06-1111100,3580650,Inbound,732893,85x0068
85x,TRYON-Weekday-2-BUS-19-06-1111100,3580655,Inbound,732858,85x0068
85x,TRYON-Weekday-2-BUS-19-06-1111100,3580661,Inbound,732857,85x0068
85x,TRYON-Weekday-2-BUS-19-06-1111100,3580681,Inbound,732859,85x0068
85x,TRYON-Weekday-2-BUS-19-06-1111100,3581048,Outbound,732859,85x0067
85x,TRYON-Weekday-2-BUS-19-06-1111100,3581210,Outbound,732845,85x0067
85x,TRYON-Weekday-2-BUS-19-06-1111100,3581238,Outbound,732850,85x0067
85x,TRYON-Weekday-2-BUS-19-06-1111100,3581262,Outbound,732849,85x0067
85x,TRYON-Weekday-2-BUS-19-06-1111100,3581296,Inbound,732845,85x0069
85x,TRYON-Weekday-2-BUS-19-06-1111100,3581315,Outbound,732845,85x0067
