trip_id,stop_id,stop_sequence,arrival_time,departure_time,timepoint
a322c554-3-7b3b433c-d,40775,1,05:40:00,05:40:00,1
a322c554-3-7b3b433c-d,40770,2,05:50:00,05:50:00,1
a322c554-3-7b3b433c-d,40760,3,06:04:00,06:04:00,1
a322c554-3-7b3b433c-d,52494,4,06:15:00,06:15:00,1
a322c554-3-7b3b433c-d,59580,5,06:32:00,06:32:00,1
a322c554-3-7b3b433c-d,59590,6,06:33:00,06:33:00,1
a322c554-3-7b3b433c-d,45010,7,06:37:00,06:37:00,1
a322c554-3-7b3b433c-d,45011,8,06:38:00,06:38:00,1
a322c554-3-7b3b433c-d,08220,9,06:39:00,06:39:00,1
a322c554-3-7b3b433c-d,08230,10,06:40:00,06:40:00,1
a322c554-3-7b3b433c-d,08240,11,06:41:00,06:41:00,1
a322c554-3-7b3b433c-d,08250,12,06:42:00,06:42:00,1
eb390f6e-c-7b3b433c-d,40775,1,06:10:00,06:10:00,1
eb390f6e-c-7b3b433c-d,40770,2,06:20:00,06:20:00,1
eb390f6e-c-7b3b433c-d,40760,3,06:34:00,06:34:00,1
eb390f6e-c-7b3b433c-d,52494,4,06:48:00,06:48:00,1
eb390f6e-c-7b3b433c-d,59580,5,07:11:00,07:11:00,1
eb390f6e-c-7b3b433c-d,59590,6,07:12:00,07:12:00,1
eb390f6e-c-7b3b433c-d,45010,7,07:16:00,07:16:00,1
eb390f6e-c-7b3b433c-d,45011,8,07:17:00,07:17:00,1
eb390f6e-c-7b3b433c-d,08220,9,07:18:00,07:18:00,1
eb390f6e-c-7b3b433c-d,08230,10,07:19:00,07:19:00,1
eb390f6e-c-7b3b433c-d,08240,11,07:20:00,07:20:00,1
eb390f6e-c-7b3b433c-d,08250,12,07:21:00,07:21:00,1
ef0e454d-2-7b3b433c-d,40775,1,06:30:00,06:30:00,1
ef0e454d-2-7b3b433c-d,40770,2,06:42:00,06:42:00,1
ef0e454d-2-7b3b433c-d,40760,3,06:57:00,06:57:00,1
ef0e454d-2-7b3b433c-d,52494,4,07:11:00,07:11:00,1
ef0e454d-2-7b3b433c-d,59580,5,07:41:00,07:41:00,1
ef0e454d-2-7b3b433c-d,59590,6,07:42:00,07:42:00,1
ef0e454d-2-7b3b433c-d,45010,7,07:46:00,07:46:00,1
