trip_id,stop_id,stop_sequence,arrival_time,departure_time,timepoint
9d6740e9-6-32333dcc-7,37380,1,05:15:00,05:15:00,1
9d6740e9-6-32333dcc-7,25360,2,05:15:00,05:15:00,0
9d6740e9-6-32333dcc-7,25330,3,05:16:00,05:16:00,0
9d6740e9-6-32333dcc-7,25310,4,05:16:00,05:16:00,0
9d6740e9-6-32333dcc-7,25390,5,05:16:00,05:16:00,0
9d6740e9-6-32333dcc-7,25410,6,05:17:00,05:17:00,0
9d6740e9-6-32333dcc-7,remix_bd5f9ef4-251d-41c2-8600-3f4295e8c0bc,7,06:02:00,06:02:00,0
9d6740e9-6-32333dcc-7,remix_c8f0639e-3734-4122-b582-52f68fa0b9f6,8,06:07:00,06:07:00,0
9d6740e9-6-32333dcc-7,remix_9ddef925-a8aa-4de9-ab42-7031d62f98d1,9,06:11:00,06:11:00,0
9d6740e9-6-32333dcc-7,remix_76bb4a4a-fa63-42dc-90b3-c2d1713ea777,10,06:14:00,06:14:00,1
26d11e7b-a-32333dcc-7,37380,1,05:45:00,05:45:00,1
26d11e7b-a-32333dcc-7,25360,2,05:45:00,05:45:00,0
26d11e7b-a-32333dcc-7,25330,3,05:46:00,05:46:00,0
26d11e7b-a-32333dcc-7,25310,4,05:46:00,05:46:00,0
26d11e7b-a-32333dcc-7,25390,5,05:46:00,05:46:00,0
26d11e7b-a-32333dcc-7,25410,6,05:47:00,05:47:00,0
26d11e7b-a-32333dcc-7,remix_bd5f9ef4-251d-41c2-8600-3f4295e8c0bc,7,06:32:00,06:32:00,0
26d11e7b-a-32333dcc-7,remix_c8f0639e-3734-4122-b582-52f68fa0b9f6,8,06:37:00,06:37:00,0
26d11e7b-a-32333dcc-7,remix_9ddef925-a8aa-4de9-ab42-7031d62f98d1,9,06:41:00,06:41:00,0
26d11e7b-a-32333dcc-7,remix_76bb4a4a-fa63-42dc-90b3-c2d1713ea777,10,06:44:00,06:44:00,1
381f61ec-4-32333dcc-7,37380,1,06:15:00,06:15:00,1
381f61ec-4-32333dcc-7,25360,2,06:15:00,06:15:00,0
381f61ec-4-32333dcc-7,25330,3,06:16:00,06:16:00,0
381f61ec-4-32333dcc-7,25310,4,06:16:00,06:16:00,0
381f61ec-4-32333dcc-7,25390,5,06:16:00,06:16:00,0
381f61ec-4-32333dcc-7,25410,6,06:17:00,06:17:00,0
381f61ec-4-32333dcc-7,remix_bd5f9ef4-251d-41c2-8600-3f4295e8c0bc,7,07:02:00,07:02:00,0
381f61ec-4-32333dcc-7,remix_c8f0639e-3734-4122-b582-52f68fa0b9f6,8,07:07:00,07:07:00,0
381f61ec-4-32333dcc-7,remix_9ddef925-a8aa-4de9-ab42-7031d62f98d1,9,07:11:00,07:11:00,0
381f61ec-4-32333dcc-7,remix_76bb4a4a-fa63-42dc-90b3-c2d1713ea777,10,07:14:00,07:14:00,1
a34cb02d-9-32333dcc-7,37380,1,06:45:00,06:45:00,1
a34cb02d-9-32333dcc-7,25360,2,06:45:00,06:45:00,0
a34cb02d-9-32333dcc-7,25330,3,06:46:00,06:46:00,0
a34cb02d-9-32333dcc-7,25310,4,06:46:00,06:46:00,0
a34cb02d-9-32333dcc-7,25390,5,06:46:00,06:46:00,0
a34cb02d-9-32333dcc-7,25410,6,06:47:00,06:47:00,0
a34cb02d-9-32333dcc-7,remix_bd5f9ef4-251d-41c2-8600-3f4295e8c0bc,7,07:32:00,07:32:00,0
a34cb02d-9-32333dcc-7,remix_c8f0639e-3734-4122-b582-52f68fa0b9f6,8,07:37:00,07:37:00,0
a34cb02d-9-32333dcc-7,remix_9ddef925-a8aa-4de9-ab42-7031d62f98d1,9,07:41:00,07:41:00,0
a34cb02d-9-32333dcc-7,remix_76bb4a4a-fa63-42dc-90b3-c2d1713ea777,10,07:44:00,07:44:00,1
3980ee99-9-32333dcc-7,37380,1,07:15:00,07:15:00,1
3980ee99-9-32333dcc-7,25360,2,07:15:00,07:15:00,0
3980ee99-9-32333dcc-7,25330,3,07:16:00,07:16:00,0
3980ee99-9-32333dcc-7,25310,4,07:16:00,07:16:00,0
3980ee99-9-32333dcc-7,25390,5,07:16:00,07:16:00,0
3980ee99-9-32333dcc-7,25410,6,07:17:00,07:17:00,0
3980ee99-9-32333dcc-7,remix_bd5f9ef4-251d-41c2-8600-3f4295e8c0bc,7,08:02:00,08:02:00,0
3980ee99-9-32333dcc-7,remix_c8f0639e-3734-4122-b582-52f68fa0b9f6,8,08:07:00,08:07:00,0
3980ee99-9-32333dcc-7,remix_9ddef925-a8aa-4de9-ab42-7031d62f98d1,9,08:11:00,08:11:00,0
3980ee99-9-32333dcc-7,remix_76bb4a4a-fa63-42dc-90b3-c2d1713ea777,10,08:14:00,08:14:00,1
e11eeba6-c-32333dcc-7,37380,1,07:45:00,07:45:00,1
e11eeba6-c-32333dcc-7,25360,2,07:45:00,07:45:00,0
e11eeba6-c-32333dcc-7,25330,3,07:46:00,07:46:00,0
e11eeba6-c-32333dcc-7,25310,4,07:46:00,07:46:00,0
e11eeba6-c-32333dcc-7,25390,5,07:46:00,07:46:00,0
e11eeba6-c-32333dcc-7,25410,6,07:47:00,07:47:00,0
e11eeba6-c-32333dcc-7,remix_bd5f9ef4-251d-41c2-8600-3f4295e8c0bc,7,08:32:00,08:32:00,0
e11eeba6-c-32333dcc-7,remix_c8f0639e-3734-4122-b582-52f68fa0b9f6,8,08:37:00,08:37:00,0
e11eeba6-c-32333dcc-7,remix_9ddef925-a8aa-4de9-ab42-7031d62f98d1,9,08:41:00,08:41:00,0
e11eeba6-c-32333dcc-7,remix_76bb4a4a-fa63-42dc-90b3-c2d1713ea777,10,08:44:00,08:44:00,1
88b02368-9-32333dcc-7,37380,1,08:15:00,08:15:00,1
88b02368-9-32333dcc-7,25360,2,08:15:00,08:15:00,0
88b02368-9-32333dcc-7,25330,3,08:16:00,08:16:00,0
88b02368-9-32333dcc-7,25310,4,08:16:00,08:16:00,0
88b02368-9-32333dcc-7,25390,5,08:16:00,08:16:00,0
88b02368-9-32333dcc-7,25410,6,08:17:00,08:17:00,0
88b02368-9-32333dcc-7,remix_bd5f9ef4-251d-41c2-8600-3f4295e8c0bc,7,09:02:00,09:02:00,0
88b02368-9-32333dcc-7,remix_c8f0639e-3734-4122-b582-52f68fa0b9f6,8,09:07:00,09:07:00,0
88b02368-9-32333dcc-7,remix_9ddef925-a8aa-4de9-ab42-7031d62f98d1,9,09:11:00,09:11:00,0
88b02368-9-32333dcc-7,remix_76bb4a4a-fa63-42dc-90b3-c2d1713ea777,10,09:14:00,09:14:00,1
2cd74d9c-4-32333dcc-7,37380,1,08:45:00,08:45:00,1
2cd74d9c-4-32333dcc-7,25360,2,08:45:00,08:45:00,0
2cd74d9c-4-32333dcc-7,25330,3,08:46:00,08:46:00,0
2cd74d9c-4-32333dcc-7,25310,4,08:46:00,08:46:00,0
2cd74d9c-4-32333dcc-7,25390,5,08:46:00,08:46:00,0
2cd74d9c-4-32333dcc-7,25410,6,08:47:00,08:47:00,0
2cd74d9c-4-32333dcc-7,remix_bd5f9ef4-251d-41c2-8600-3f4295e8c0bc,7,09:32:00,09:32:00,0
2cd74d9c-4-32333dcc-7,remix_c8f0639e-3734-4122-b582-52f68fa0b9f6,8,09:37:00,09:37:00,0
2cd74d9c-4-32333dcc-7,remix_9ddef925-a8aa-4de9-ab42-7031d62f98d1,9,09:41:00,09:41:00,0
2cd74d9c-4-32333dcc-7,remix_76bb4a4a-fa63-42dc-90b3-c2d1713ea777,10,09:44:00,09:44:00,1
711a3c48-6-32333dcc-7,37380,1,09:15:00,09:15:00,1
711a3c48-6-32333dcc-7,25360,2,09:15:00,09:15:00,0
711a3c48-6-32333dcc-7,25330,3,09:16:00,09:16:00,0
711a3c48-6-32333dcc-7,25310,4,09:16:00,09:16:00,0
711a3c48-6-32333dcc-7,25390,5,09:16:00,09:16:00,0
711a3c48-6-32333dcc-7,25410,6,09:17:00,09:17:00,0
711a3c48-6-32333dcc-7,remix_bd5f9ef4-251d-41c2-8600-3f4295e8c0bc,7,10:02:00,10:02:00,0
711a3c48-6-32333dcc-7,remix_c8f0639e-3734-4122-b582-52f68fa0b9f6,8,10:07:00,10:07:00,0
711a3c48-6-32333dcc-7,remix_9ddef925-a8aa-4de9-ab42-7031d62f98d1,9,10:11:00,10:11:00,0
711a3c48-6-32333dcc-7,remix_76bb4a4a-fa63-42dc-90b3-c2d1713ea777,10,10:14:00,10:14:00,1
50335c8e-3-32333dcc-7,37380,1,09:45:00,09:45:00,1
50335c8e-3-32333dcc-7,25360,2,09:45:00,09:45:00,0
50335c8e-3-32333dcc-7,25330,3,09:46:00,09:46:00,0
50335c8e-3-32333dcc-7,25310,4,09:46:00,09:46:00,0
50335c8e-3-32333dcc-7,25390,5,09:46:00,09:46:00,0
50335c8e-3-32333dcc-7,25410,6,09:47:00,09:47:00,0
50335c8e-3-32333dcc-7,remix_bd5f9ef4-251d-41c2-8600-3f4295e8c0bc,7,10:32:00,10:32:00,0
50335c8e-3-32333dcc-7,remix_c8f0639e-3734-4122-b582-52f68fa0b9f6,8,10:37:00,10:37:00,0
50335c8e-3-32333dcc-7,remix_9ddef925-a8aa-4de9-ab42-7031d62f98d1,9,10:41:00,10:41:00,0
50335c8e-3-32333dcc-7,remix_76bb4a4a-fa63-42dc-90b3-c2d1713ea777,10,10:44:00,10:44:00,1
ff3cfc46-4-32333dcc-7,remix_76bb4a4a-fa63-42dc-90b3-c2d1713ea777,1,14:30:00,14:30:00,1
ff3cfc46-4-32333dcc-7,remix_c470f7cf-adef-4a5e-9b23-b53516702e7a,2,14:34:00,14:34:00,0
ff3cfc46-4-32333dcc-7,remix_c9124293-4336-42c2-bfcc-5e938523638c,3,14:39:00,14:39:00,0
ff3cfc46-4-32333dcc-7,remix_148ee13d-6f6d-40f4-9d66-bf8d0dcb1591,4,14:45:00,14:45:00,0
ff3cfc46-4-32333dcc-7,remix-78955990,5,15:38:00,15:38:00,0
ff3cfc46-4-32333dcc-7,remix-78955991,6,15:38:00,15:38:00,0
ff3cfc46-4-32333dcc-7,05710,7,15:39:00,15:39:00,0
ff3cfc46-4-32333dcc-7,45010,8,15:39:00,15:39:00,0
ff3cfc46-4-32333dcc-7,45011,9,15:40:00,15:40:00,0
ff3cfc46-4-32333dcc-7,00003,10,15:40:00,15:40:00,0
ff3cfc46-4-32333dcc-7,08220,11,15:40:00,15:40:00,0
ff3cfc46-4-32333dcc-7,remix_99de89fe-b219-4558-b4b7-64d0ddfa338a,12,15:40:00,15:40:00,0
ff3cfc46-4-32333dcc-7,08230,13,15:40:00,15:40:00,0
ff3cfc46-4-32333dcc-7,08240,14,15:41:00,15:41:00,0
ff3cfc46-4-32333dcc-7,08250,15,15:41:00,15:41:00,1
3c3ab2d9-f-32333dcc-7,remix_76bb4a4a-fa63-42dc-90b3-c2d1713ea777,1,15:00:00,15:00:00,1
3c3ab2d9-f-32333dcc-7,remix_c470f7cf-adef-4a5e-9b23-b53516702e7a,2,15:04:00,15:04:00,0
3c3ab2d9-f-32333dcc-7,remix_c9124293-4336-42c2-bfcc-5e938523638c,3,15:09:00,15:09:00,0
3c3ab2d9-f-32333dcc-7,remix_148ee13d-6f6d-40f4-9d66-bf8d0dcb1591,4,15:15:00,15:15:00,0
3c3ab2d9-f-32333dcc-7,remix-78955990,5,16:08:00,16:08:00,0
3c3ab2d9-f-32333dcc-7,remix-78955991,6,16:08:00,16:08:00,0
3c3ab2d9-f-32333dcc-7,05710,7,16:09:00,16:09:00,0
3c3ab2d9-f-32333dcc-7,45010,8,16:09:00,16:09:00,0
3c3ab2d9-f-32333dcc-7,45011,9,16:10:00,16:10:00,0
3c3ab2d9-f-32333dcc-7,00003,10,16:10:00,16:10:00,0
3c3ab2d9-f-32333dcc-7,08220,11,16:10:00,16:10:00,0
3c3ab2d9-f-32333dcc-7,remix_99de89fe-b219-4558-b4b7-64d0ddfa338a,12,16:10:00,16:10:00,0
3c3ab2d9-f-32333dcc-7,08230,13,16:10:00,16:10:00,0
3c3ab2d9-f-32333dcc-7,08240,14,16:11:00,16:11:00,0
3c3ab2d9-f-32333dcc-7,08250,15,16:11:00,16:11:00,1
387c2d0d-2-32333dcc-7,remix_76bb4a4a-fa63-42dc-90b3-c2d1713ea777,1,15:30:00,15:30:00,1
