trip_id,block_id,route_id,service_id,direction_id,shape_id
9d6740e9-6-32333dcc-7,,7679f112,1,0,961350782
26d11e7b-a-32333dcc-7,,7679f112,1,0,961350782
381f61ec-4-32333dcc-7,,7679f112,1,0,961350782
a34cb02d-9-32333dcc-7,,7679f112,1,0,961350782
3980ee99-9-32333dcc-7,,7679f112,1,0,961350782
e11eeba6-c-32333dcc-7,,7679f112,1,0,961350782
88b02368-9-32333dcc-7,,7679f112,1,0,961350782
2cd74d9c-4-32333dcc-7,,7679f112,1,0,961350782
711a3c48-6-32333dcc-7,,7679f112,1,0,961350782
50335c8e-3-32333dcc-7,,7679f112,1,0,961350782
ff3cfc46-4-32333dcc-7,,7679f112,1,1,961350783
3c3ab2d9-f-32333dcc-7,,7679f112,1,1,961350783
387c2d0d-2-32333dcc-7,,7679f112,1,1,961350783
91c06c90-5-32333dcc-7,,7679f112,1,1,961350783
46d4b38a-8-32333dcc-7,,7679f112,1,1,961350783
bb804d43-b-32333dcc-7,,7679f112,1,1,961350783
09ce2d04-6-32333dcc-7,,7679f112,1,1,961350783
4151907d-6-32333dcc-7,,7679f112,1,1,961350783
725a2442-e-32333dcc-7,,7679f112,1,1,961350783
ceee6b55-e-32333dcc-7,,7679f112,1,1,961350783
058834eb-5-32333dcc-7,,7679f112,1,1,961350783
8d237d45-a-32333dcc-7,,7ab2871f,1,1,961350776
f880d853-0-32333dcc-7,,7ab2871f,1,0,961350775
fc9aa86e-2-32333dcc-7,,7ab2871f,1,1,961350776
45269b25-d-32333dcc-7,,7ab2871f,1,1,961350776
f19373fc-0-32333dcc-7,,7ab2871f,1,0,961350774
4743814c-2-32333dcc-7,,7ab2871f,1,0,961350774
96c61aee-2-32333dcc-7,,7ab2871f,1,0,961350774
db711680-f-32333dcc-7,,7ab2871f,1,1,961350777
032fb9ac-8-32333dcc-7,,bd540e3c,1,0,961350780
45bb312c-a-32333dcc-7,,bd540e3c,1,0,961350780
76c12ba9-7-32333dcc-7,,bd540e3c,1,0,961350780
71a224ec-e-32333dcc-7,,bd540e3c,1,0,961350780
35dc6493-c-32333dcc-7,,bd540e3c,1,1,961350781
d0511fef-b-32333dcc-7,,bd540e3c,1,1,961350781
611ba263-3-32333dcc-7,,bd540e3c,1,1,961350781
995e50d2-1-32333dcc-7,,bd540e3c,1,1,961350781
5dafbd96-f-32333dcc-7,,f49db018,1,0,961350785
65a5955c-c-32333dcc-7,,f49db018,1,1,961350787
f0be2045-1-32333dcc-7,,f49db018,1,0,961350785
874e04ce-c-32333dcc-7,,f49db018,1,0,961350785
25446096-f-32333dcc-7,,f49db018,1,0,961350785
8f57c1f0-0-32333dcc-7,,f49db018,1,0,961350785
7d593b6b-f-32333dcc-7,,f49db018,1,1,961350786
a5e4f578-1-32333dcc-7,,f49db018,1,1,961350786
393bc86c-1-32333dcc-7,,f49db018,1,1,961350786
c66ba287-6-32333dcc-7,,f49db018,1,1,961350786
a1527627-e-32333dcc-7,,f49db018,1,0,961350784
76025d0c-6-32333dcc-7,,f49db018,1,1,961350786
