stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id
00001,"7th St Station",,35.227375,-80.838088,
00002,"CTC Station",,35.225336,-80.840975,
00003,"3rd/ Convention Center Station",,35.223631,-80.843237,
00004,"Stonewall Station",,35.221319,-80.847066,
00005,"Carson Station",,35.218822,-80.850947,
00006,"Bland Station",,35.215787,-80.855346,
00007,"East/ West Station",,35.212117,-80.859140,
00008,"New Bern Station",,35.199887,-80.869042,
00009,"Scaleybark Station",,35.190842,-80.875075,
00010,"Woodlawn Station",,35.175789,-80.879063,
00011,"Tyvola Station",,35.162948,-80.877570,
00012,"Archdale Station",,35.152897,-80.877485,
00013,"Arrowood Station",,35.135606,-80.876364,
00014,"Sharon Rd West Station",,35.119450,-80.881962,
00015,"I-485 Station",,35.107087,-80.882925,
00016,"9th Street Station",,35.229656,-80.835022,
00040,"12th St & Davidson St",,35.229429,-80.829693,
00081,"Parkwood Station",,35.236921,-80.823290,
00082,"25th St Station",,35.241703,-80.817147,
00083,"36th St Station",,35.249085,-80.806364,
00084,"Sugar Creek Station",,35.251423,-80.792853,
00085,"Old Concord Road Station",,35.259934,-80.772790,
00086,"Tom Hunter Station",,35.277951,-80.766283,
00087,"University City Blvd Station",,35.286787,-80.760864,
00088,"McCullough Station",,35.301124,-80.752875,
00089,"JW Clay Blvd Station",,35.310742,-80.745189,
00090,"UNC Charlotte Station",,35.312136,-80.733749,
00120,"Airport Dr & Stonewall Jackson Home Dr",,35.204791,-80.927950,
00126,"Airport Dr & Ashley Cir",,35.207940,-80.929098,
00127,"Airport Dr & Wilson Air Center Entrance",,35.208967,-80.928956,
00140,"Airport Dr & Sentry Post Rd",,35.204702,-80.927995,
00160,"Central Ave & Reddman Rd",,35.205480,-80.750199,
00170,"Albemarle Rd & Jenkins Dr",,35.203334,-80.743471,
00180,"Albemarle Rd & Executive Center Dr",,35.203106,-80.743111,
00183,"Wachovia CIC -Entrance 1A",,35.313753,-80.772557,
00200,"Graham St & Equipment Dr",,35.279671,-80.806609,
00210,"Albemarle Rd & Farm Pond Ln",,35.203087,-80.737700,
00230,"Albemarle Rd & Winterhaven Dr",,35.202746,-80.734891,
00240,"Albemarle Rd & Winterhaven Dr",,35.202986,-80.735569,
00250,"Albemarle Rd & Regal Oaks Dr",,35.202501,-80.731293,
00260,"Albemarle Rd & Regal Oaks Dr",,35.202699,-80.731277,
00270,"Albemarle Rd & WT Harris Blvd",,35.202460,-80.728142,
00280,"Albemarle Rd & WT Harris Blvd",,35.202292,-80.728607,
00285,"Albemarle Rd & Lawyers Rd Park and Ride",,35.203980,-80.724266,
00300,"Albemarle Rd & Lake Forest Rd East",,35.204949,-80.718297,
00320,"Albemarle Rd & Lynton Blvd",,35.207948,-80.708610,
00330,"Albemarle Rd & Olde Savannah Rd",,35.210402,-80.699484,
00340,"Albemarle Rd & Dwightware Blvd",,35.211493,-80.690836,
00360,"Alleghany St @ 1335",,35.237755,-80.891235,
00400,"Alleghany St @ Phillip Berry Academy",,35.237786,-80.891189,
00410,"Ashley Rd & Alleghany St",,35.240269,-80.897239,
00520,"Amay James Ave & Caronia St",,35.206802,-80.901007,
00525,"Amay James Ave @ 3133",,35.205617,-80.900635,
00550,"Amay James Ave & West Blvd",,35.210633,-80.901671,
00560,"Amay James Ave @ 2948",,35.209405,-80.901453,
00570,"Amay James Ave @ 3006",,35.208606,-80.901313,
00575,"Amay James Ave @ across 3133",,35.205524,-80.900754,
00580,"Anderson St & Tappan Pl",,35.243380,-80.793453,
00590,"Anderson St & The Plaza",,35.243322,-80.793288,
00600,"Anderson St & Byrnes St",,35.242507,-80.791890,
00610,"Anderson St & Hampshire Pl",,35.242188,-80.790965,
00620,"Anderson St & Hampshire Pl",,35.242201,-80.790677,
00630,"Anderson St & Eastwood Dr",,35.242055,-80.789029,
00640,"Anderson St & Eastwood Dr",,35.241999,-80.789220,
00670,"Arboretum Center Dr & Providence Rd",,35.097796,-80.779937,
00720,"Arrowhead Dr & Countryside Dr",,35.271372,-80.769666,
00750,"Arrowhead Dr & Elgywood Ln",,35.271276,-80.771512,
00760,"Arrowood Rd & Windsong Dr",,35.134176,-80.899621,
00770,"Arrowood Rd & Forrest Point Blvd",,35.135747,-80.903040,
00790,"Arrowood Rd & Arrowpoint Blvd",,35.140134,-80.912853,
00795,"Arrowood Rd & Microsoft Way",,35.142829,-80.918684,
00810,"Arrowood Rd & Royal Point Dr",,35.145040,-80.922727,
00930,"Arrowood Rd & Fawnbrook Ln",,35.134557,-80.900202,
00960,"Arrowood Rd & Forest Point Blvd",,35.135972,-80.903219,
01000,"Arrowood Rd & Red Oak Blvd",,35.139226,-80.910361,
01001,"Arrowood Rd & Southern Pine Blvd",,35.139018,-80.910437,
01020,"Arrowood Rd & Arrowpoint Blvd",,35.140563,-80.913193,
01030,"Arrowood Rd & Crescent Executive Dr",,35.143127,-80.918572,
01100,"Arrowood Rd & Altacrest Pl",,35.146012,-80.924174,
01110,"Arrowood Rd & Tryon St",,35.146358,-80.925247,
01170,"Ashley Rd & Freedom Dr",,35.246262,-80.892736,
01180,"Tuckaseegee Rd & Freedom Dr",,35.246170,-80.892613,
01190,"Ashley Rd & Tuckaseegee Rd",,35.244198,-80.895512,
01200,"Ashley Rd & Freedom Dr",,35.244109,-80.895235,
01210,"Ashley Rd & Tuckaseegee Rd",,35.243698,-80.896592,
01220,"Ashley Rd & Scott Futrell Dr",,35.241083,-80.897047,
01230,"Ashley & Allegany",,35.239618,-80.897207,
01240,"Ashley Rd & Alleghany St",,35.239139,-80.897075,
01260,"Ashley & Allegany",,35.237910,-80.897147,
01270,"Ashley Rd & Alleghany St",,35.237569,-80.897293,
01290,"Ashley Rd & Bullard St",,35.235587,-80.897016,
01300,"Ashley Rd & Bullard St",,35.235597,-80.897057,
01310,"Ashley Rd & Alleghany St",,35.237879,-80.897143,
01330,"Ashley Rd & Kempton Pl",,35.233800,-80.895842,
01340,"Ashley Rd & Kempton Pl",,35.233520,-80.895778,
01350,"Ashley Rd & Meredith Ave",,35.229182,-80.892871,
01370,"Central Ave & Reddman Rd",,35.204859,-80.749735,
01380,"Ashley Rd & Greenland Ave",,35.225482,-80.890484,
01450,"Baldwin Ave & Ellison St",,35.207867,-80.834610,
