service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BLE-Saturday-99-RAIL-19-06-0000010,0,0,0,0,0,1,0,20190928,20200201
BLE-Sunday-99-RAIL-19-06-0000001,0,0,0,0,0,0,1,20190929,20200202
BLE-Weekday-99-RAIL-19-06-1111100,1,1,1,1,1,0,0,20190926,20200131
CAROWIND-Saturday-0-BUS-19-06-0000010,0,0,0,0,0,1,0,20190928,20191005
CAROWIND-Sunday-0-BUS-19-06-0000001,0,0,0,0,0,0,1,20190929,20191006
CAROWIND-Weekday-0-BUS-19-06-1111100,1,1,1,1,1,0,0,20190927,20191004
CCS-TRY-Saturday-1-BUS-19-10-0000010,0,0,0,0,0,1,0,20191012,20200201
CCS-TRY-Saturday-2-BUS-19-06-0000010,0,0,0,0,0,1,0,20190928,20191005
CCS-TRY-Sunday-1-BUS-19-10-0000001,0,0,0,0,0,0,1,20191013,20200202
CCS-TRY-Sunday-2-BUS-19-06-0000001,0,0,0,0,0,0,1,20190929,20191006
CCS-TRY-Weekday-1-BUS-19-10-1111100,1,1,1,1,1,0,0,20191007,20200131
CCS-TRY-Weekday-2-BUS-19-06-1111100,1,1,1,1,1,0,0,20190926,20191004
DAVID-Weekday-1-BUS-19-10-1111100,1,1,1,1,1,0,0,20191007,20200131
DAVID-Weekday-2-BUS-19-06-1111100,1,1,1,1,1,0,0,20190926,20191004
MVS-Saturday-96-BUS-19-06-0000010,0,0,0,0,0,1,0,20190928,20191005
MVS-Sunday-96-BUS-19-06-0000001,0,0,0,0,0,0,1,20190929,20191006
MVS-Weekday-96-BUS-19-06-1111100,1,1,1,1,1,0,0,20190927,20191004
MVS-Weekday-97-BUS-19-06-1111100,1,1,1,1,1,0,0,20190926,20191003
TRYON-Saturday-1-BUS-19-10-0000010,0,0,0,0,0,1,0,20191012,20200201
TRYON-Saturday-2-BUS-19-06-0000010,0,0,0,0,0,1,0,20190928,20191005
TRYON-Sunday-1-BUS-19-10-0000001,0,0,0,0,0,0,1,20191013,20200202
TRYON-Sunday-2-BUS-19-06-0000001,0,0,0,0,0,0,1,20190929,20191006
TRYON-Weekday-1-BUS-19-10-0000100,0,0,0,0,1,0,0,20191011,20200131
TRYON-Weekday-1-BUS-19-10-1111000,1,1,1,1,0,0,0,20191007,20200130
TRYON-Weekday-1-BUS-19-10-1111100,1,1,1,1,1,0,0,20191007,20200131
TRYON-Weekday-2-BUS-19-06-0000100,0,0,0,0,1,0,0,20190927,20191004
TRYON-Weekday-2-BUS-19-06-1111000,1,1,1,1,0,0,0,20190926,20191003
TRYON-Weekday-2-BUS-19-06-1111100,1,1,1,1,1,0,0,20190926,20191004
UNCC-NINER-BUS,1,1,1,1,1,1,1,20171007,20200131
SILVER-LINE-BRT,1,1,1,1,1,1,1,20171007,20200131
