service_id,date,exception_type
DAVID-Weekday-1-BUS-19-10-1111100,20191009,1
DAVID-Weekday-1-BUS-19-10-1111100,20191010,1
DAVID-Weekday-1-BUS-19-10-1111100,20191011,1
DAVID-Weekday-1-BUS-19-10-1111100,20191014,1
DAVID-Weekday-1-BUS-19-10-1111100,20191015,1
DAVID-Weekday-1-BUS-19-10-1111100,20191016,1
DAVID-Weekday-1-BUS-19-10-1111100,20191017,1
DAVID-Weekday-1-BUS-19-10-1111100,20191018,1
DAVID-Weekday-1-BUS-19-10-1111100,20191021,1
DAVID-Weekday-1-BUS-19-10-1111100,20191022,1
DAVID-Weekday-1-BUS-19-10-1111100,20191023,1
DAVID-Weekday-1-BUS-19-10-1111100,20191024,1
DAVID-Weekday-1-BUS-19-10-1111100,20191025,1
DAVID-Weekday-1-BUS-19-10-1111100,20191028,1
DAVID-Weekday-1-BUS-19-10-1111100,20191029,1
DAVID-Weekday-1-BUS-19-10-1111100,20191030,1
DAVID-Weekday-1-BUS-19-10-1111100,20191031,1
DAVID-Weekday-1-BUS-19-10-1111100,20191101,1
DAVID-Weekday-1-BUS-19-10-1111100,20191104,1
DAVID-Weekday-1-BUS-19-10-1111100,20191105,1
DAVID-Weekday-1-BUS-19-10-1111100,20191106,1
DAVID-Weekday-1-BUS-19-10-1111100,20191107,1
DAVID-Weekday-1-BUS-19-10-1111100,20191108,1
DAVID-Weekday-1-BUS-19-10-1111100,20191111,1
DAVID-Weekday-1-BUS-19-10-1111100,20191112,1
DAVID-Weekday-1-BUS-19-10-1111100,20191113,1
DAVID-Weekday-1-BUS-19-10-1111100,20191114,1
DAVID-Weekday-1-BUS-19-10-1111100,20191115,1
DAVID-Weekday-1-BUS-19-10-1111100,20191118,1
DAVID-Weekday-1-BUS-19-10-1111100,20191119,1
DAVID-Weekday-1-BUS-19-10-1111100,20191120,1
DAVID-Weekday-1-BUS-19-10-1111100,20191121,1
DAVID-Weekday-1-BUS-19-10-1111100,20191122,1
DAVID-Weekday-1-BUS-19-10-1111100,20191125,1
DAVID-Weekday-1-BUS-19-10-1111100,20191126,1
DAVID-Weekday-1-BUS-19-10-1111100,20191127,1
DAVID-Weekday-1-BUS-19-10-1111100,20191202,1
DAVID-Weekday-1-BUS-19-10-1111100,20191203,1
DAVID-Weekday-1-BUS-19-10-1111100,20191204,1
DAVID-Weekday-1-BUS-19-10-1111100,20191205,1
DAVID-Weekday-1-BUS-19-10-1111100,20191206,1
DAVID-Weekday-1-BUS-19-10-1111100,20191209,1
DAVID-Weekday-1-BUS-19-10-1111100,20191210,1
DAVID-Weekday-1-BUS-19-10-1111100,20191211,1
DAVID-Weekday-1-BUS-19-10-1111100,20191212,1
DAVID-Weekday-1-BUS-19-10-1111100,20191213,1
DAVID-Weekday-1-BUS-19-10-1111100,20191216,1
DAVID-Weekday-1-BUS-19-10-1111100,20191217,1
DAVID-Weekday-1-BUS-19-10-1111100,20191218,1
DAVID-Weekday-1-BUS-19-10-1111100,20191219,1
DAVID-Weekday-1-BUS-19-10-1111100,20191220,1
DAVID-Weekday-1-BUS-19-10-1111100,20191223,1
DAVID-Weekday-1-BUS-19-10-1111100,20191226,1
DAVID-Weekday-1-BUS-19-10-1111100,20191227,1
DAVID-Weekday-1-BUS-19-10-1111100,20191230,1
DAVID-Weekday-1-BUS-19-10-1111100,20191231,1
DAVID-Weekday-1-BUS-19-10-1111100,20200102,1
DAVID-Weekday-1-BUS-19-10-1111100,20200103,1
DAVID-Weekday-1-BUS-19-10-1111100,20200106,1
DAVID-Weekday-1-BUS-19-10-1111100,20200107,1
DAVID-Weekday-1-BUS-19-10-1111100,20200108,1
DAVID-Weekday-1-BUS-19-10-1111100,20200109,1
DAVID-Weekday-1-BUS-19-10-1111100,20200110,1
DAVID-Weekday-1-BUS-19-10-1111100,20200113,1
DAVID-Weekday-1-BUS-19-10-1111100,20200114,1
DAVID-Weekday-1-BUS-19-10-1111100,20200115,1
