stop_id,stop_code,stop_name,stop_lat,stop_lon
00001,,"7th St Station",35.227375,-80.838088
00002,,"CTC Station",35.225336,-80.840975
00003,,"3rd/ Convention Center Station",35.223631,-80.843237
00004,,"Stonewall Station",35.221319,-80.847066
00005,,"Carson Station",35.218822,-80.850947
00006,,"Bland Station",35.215787,-80.855346
00007,,"East/ West Station",35.212117,-80.859140
00008,,"New Bern Station",35.199887,-80.869042
00009,,"Scaleybark Station",35.190842,-80.875075
00010,,"Woodlawn Station",35.175789,-80.879063
00011,,"Tyvola Station",35.162948,-80.877570
00012,,"Archdale Station",35.152897,-80.877485
00013,,"Arrowood Station",35.135606,-80.876364
00014,,"Sharon Rd West Station",35.119450,-80.881962
00015,,"I-485 Station",35.107087,-80.882925
00016,,"9th Street Station",35.229656,-80.835022
00081,,"Parkwood Station",35.236921,-80.823290
00082,,"25th St Station",35.241703,-80.817147
00083,,"36th St Station",35.249085,-80.806364
00084,,"Sugar Creek Station",35.251423,-80.792853
00085,,"Old Concord Road Station",35.259934,-80.772790
00086,,"Tom Hunter Station",35.277951,-80.766283
00087,,"University City Blvd Station",35.286787,-80.760864
00088,,"McCullough Station",35.301124,-80.752875
00089,,"JW Clay Blvd Station",35.310742,-80.745189
00090,,"UNC Charlotte Station",35.312136,-80.733749
22430,,"Providence Rd & Providence Dr",35.179107,-80.818426
22390,,"Providence Rd & Vernon Dr",35.182701,-80.819974
22370,,"Providence Rd & Scotland Ave",35.184140,-80.820596
22360,,"Providence Rd & Beverly Dr",35.187518,-80.822007
22340,,"Providence Rd & Portland Ave",35.189812,-80.822982
remix_8582ac71-0729-4961-9ee9-ed0fc1d1ed79,,"Untitled Stop",35.191655,-80.823802
22310,,"Providence Rd & Oxford Pl",35.193333,-80.825113
22270,,"Providence Rd & Queens Rd",35.195189,-80.826517
22250,,"Providence Rd & Middleton Dr",35.197752,-80.826370
22240,,"Providence Rd & Cottage Pl",35.198609,-80.826018
22230,,"Providence Rd & Altondale Ave",35.199607,-80.825612
22210,,"Providence Rd & Ardsley Rd",35.201734,-80.824943
remix_081952a0-11e2-46ed-9561-f0c88a4f1c41,,"Untitled Stop",35.203857,-80.824462
45747,,"Providence Rd & Alberto St",35.206011,-80.824073
45531,,"Providence Rd & Caswell Rd",35.208690,-80.824868
remix_4a177d79-7045-4c3c-a4fe-d909f97ef52d,,"Untitled Stop",35.210834,-80.827513
07500,,"4th St & Torrence St",35.213273,-80.827951
remix_78c884ed-a47d-4ca2-888a-7f9ded6255d0,,"Untitled Stop",35.214508,-80.829664
07480,,"4th St & Kings Dr",35.215738,-80.831425
remix_bec18e0a-18b5-45de-b3ee-91ee2e2198e4,,"Untitled Stop",35.218092,-80.834507
45768,,"4th St & McDowell St",35.220686,-80.837385
07380,,"4th St & Davidson St",35.222016,-80.839027
45075,,"Transit Center- 4th & Brevard",35.224041,-80.841340
32550,,"Transit Center- Bay X",35.224447,-80.841852
25650,,"4th St & Tryon St",35.226379,-80.843945
45749,,"4th St & Church St",35.226785,-80.844501
38420,,"4th St & Poplar St",35.227629,-80.845557
remix-78956072,,"Untitled Stop",35.229597,-80.847886
remix_c5e58999-d888-4791-94db-e8d17c34a0c5,,"Gateway Center",35.230414,-80.848623
45010,,"3rd St & Tryon St",35.225766,-80.845539
45011,,"3rd St & College St",35.224742,-80.844335
08220,,"3rd St & Brevard St",35.223492,-80.842991
remix_99de89fe-b219-4558-b4b7-64d0ddfa338a,,"Untitled Stop",35.222772,-80.842120
08230,,"3rd St & Davidson St",35.221474,-80.840529
08240,,"3rd St @ Marshall Park",35.220040,-80.838876
08250,,"3rd St & McDowell St",35.218933,-80.837783
remix_5db6f0be-33a5-4452-87e3-b10208d2aa59,,"Untitled Stop",35.216519,-80.834908
08260,,"3rd St & Kings Dr",35.214431,-80.831634
45825,,"3rd St & Torrence St",35.212609,-80.829527
42280,,"3rd St & Queens Rd",35.210982,-80.827983
42284,,"Providence Rd & Caswell Rd",35.208853,-80.825173
45748,,"Providence Rd & Alberto St",35.205697,-80.824205
remix_4c88f823-1171-4595-9ed5-ef9c85268f6b,,"Untitled Stop",35.203855,-80.824652
22190,,"Providence Rd & Ardsley Rd",35.202013,-80.825009
22200,,"Providence Rd & Altondale Ave",35.200050,-80.825551
22220,,"Providence Rd & Cottage Pl",35.198806,-80.826076
22260,,"Providence Rd & Middleton Dr",35.197916,-80.826444
22290,,"Providence Rd & Queens Rd",35.195290,-80.826703
22300,,"Providence Rd & Oxford Pl",35.193573,-80.825396
22320,,"Providence Rd & Cherokee Rd",35.192138,-80.824306
22330,,"Providence Rd & Portland Ave",35.190280,-80.823287
22350,,"Providence Rd & Beverly Dr",35.187650,-80.822177
22380,,"Providence Rd & Hanson Dr",35.184064,-80.820722
22400,,"Providence Rd & Pinewood Cir",35.181901,-80.819779
22410,,"Providence Rd & Cassamia Pl",35.180470,-80.819178
16800,,"Morrison Blvd & Sharon Rd",35.153359,-80.827761
16790,,"Morrison Blvd & Roxborough Rd",35.154267,-80.829542
15160,,"Milan Rd East & Braden Dr",35.286827,-80.868361
15150,,"Milan Rd East & Otwell Ct",35.286417,-80.870530
01630,,"Bardot Dr & Milan Rd East",35.286845,-80.871815
01650,,"Bardot Dr & Faggan Way",35.288425,-80.870310
01670,,"Bardot Dr & Dedmon Dr",35.289323,-80.869507
10960,,"Firestone Dr & Dedmon Dr",35.290192,-80.870214
10920,,"Lightspun Ln & Firespun Dr",35.288988,-80.872737
15210,,"Milan Rd & Big River Rd",35.290953,-80.872876
04350,,"Capps Hill Mine Rd & Milan Rd",35.291820,-80.870671
04360,,"Capps Hill Mine Rd & Firestone Dr",35.291024,-80.869523
04400,,"Capps Hill Mine Rd & Braden Dr",35.289415,-80.866815
04408,,"Capps Hill Mine Rd & Gold Nugget Ct",35.289289,-80.865126
04420,,"Capps Hill Mine Rd & Silver Ore Ln",35.288955,-80.862216
04450,,"Capps Hill Mine Rd & Beatties Ford Rd",35.287984,-80.859609
02810,,"Beatties Ford Rd @ 3713",35.285829,-80.858518
59801,,"Cindy Ln & Cindy Park Dr",35.283156,-80.854763
59791,,"Cindy Ln & Juniper Dr",35.284525,-80.847346
59781,,"Cindy Ln & Murray St",35.284206,-80.837954
