"ProdZone","AttrZone","Curr-0Car-HBW-Trn","Curr-1Car-HBW-Trn","Curr-2Car-HBW-Trn","Curr-0Car-HBO-Trn","Curr-1Car-HBO-Trn","Curr-2Car-HBO-Trn","Curr-0Car-NHB-Trn","Curr-1Car-NHB-Trn","Curr-2Car-NHB-Trn"
"$10708","$16997",0,0,3.705,0,0,0,0,0,0
"$10729","$17167",0,0,0,0,0,5.063,0,0,0
"$10733","$16069",0,0,3.705,0,0,0,0,0,0
"$10733","$16568",0,0,3.651,0,0,0,0,0,0
"$10734","$16864",0,0,0,0,1.825,0,0,0,0
"$10772","$16568",0,4.141,0,0,0,0,0,0,0
"$10803","$16847",0,0,0,28.715,0,0,0,0,0
"$10805","$16998",5.489,0,0,0,0,0,0,0,0
"$10807","$16568",5.489,0,0,0,0,0,0,0,0
"$10808","$16150",0,0,0,2.744,0,0,0,0,0
"$10809","$16757",0,0,0,0,0,0,1.725,0,0
"$10809","$16999",0,0,4.141,0,0,0,0,0,0
"$10818","$16279",0,0,0,0,0,3.971,0,0,0
"$10818","$16595",0,2.744,0,0,0,0,0,0,0
"$10821","$16757",0,5.489,0,0,0,0,0,0,0
"$10823","$16568",0,0,4.141,0,0,0,0,0,0
"$10824","$16572",0,4.141,0,0,0,0,0,0,0
"$10824","$17009",0,0,2.07,0,0,0,0,0,0
"$10826","$16014",0,0,0,0,2.744,0,0,0,0
"$10826","$17039",0,0,0,2.744,0,0,0,0,0
"$10827","$17039",0,0,0,0,0,2.07,0,0,0
"$10828","$16569",0,0,4.141,0,0,0,0,0,0
"$10831","$16568",0,4.141,0,0,0,0,0,0,0
"$10834","$16571",0,5.602,0,9.91,0,0,0,0,0
"$10848","$16350",0,0,4.53,0,0,0,0,0,0
"$10853","$16069",2.07,0,0,0,0,0,0,0,0
"$10854","$17016",0,0,5.489,0,0,0,0,0,0
"$10859","$16504",1.83,0,0,0,0,0,0,0,0
"$10859","$16998",0,0,0,5.489,0,0,0,0,0
"$10868","$16356",0,0,0,0,0,0,6.651,0,0
"$10879","$16568",0,9.63,0,0,0,0,0,0,0
"$10963","$16568",0,0,6.448,0,0,0,0,0,0
"$11002","$16998",0,4.141,0,0,0,0,0,0,0
"$11002","$17039",0,0,0,0,1.202,0,0,0,0
"$11003","$17163",0,0,0,0,0,0,3.551,0,0
"$11007","$16572",0,0,6.211,0,0,0,0,0,0
"$11008","$16571",0,0,4.141,0,0,0,0,0,0
"$11559","$17023",0,0,10.058,0,0,0,0,0,0
"$11561","$16135",0,0,0,3.156,0,0,0,0,0
"$11562","$16568",0,0,6.503,0,0,0,0,0,0
"$11562","$17039",0,0,0,0,3.167,0,0,0,0
"$11580","$16604",0,0,0,0.65,0,0,0,0,0
"$11594","$16568",0,0,10.058,0,0,0,0,0,0
"$11595","$16568",0,0,6.448,0,0,0,0,0,0
"$11596","$17023",0,0,6.448,0,0,0,0,0,0
"$14977","$16069",0,0,4.118,0,0,0,0,0,0
"$14977","$16279",0,0,0,0,3.745,0,0,0,0
"$14977","$16566",0,0,4.118,0,0,0,0,0,0
